2019-02-12 21:30:32,490 [D] total_lines:79	(at logger.py:74) 
2019-02-12 21:30:32,490 [D] iteration_cnt:3	(at logger.py:75) 
2019-02-12 21:30:32,490 [D] comp_cached_cnt:29	(at logger.py:79) 
2019-02-12 21:30:32,490 [D] compile_cnt:299	(at logger.py:79) 
2019-02-12 21:30:32,490 [D] execute_cnt:47	(at logger.py:79) 
2019-02-12 21:30:32,490 [D] fail_del_cnt:41	(at logger.py:79) 
2019-02-12 21:30:32,490 [D] reuse_cnt:34	(at logger.py:79) 
2019-02-12 21:30:32,490 [D] succ_del_cnt:40	(at logger.py:79) 
2019-02-12 21:30:32,490 [D] time:25.65614914894104	(at logger.py:80) 
2019-02-12 21:30:32,491 [D] deletion:55	(at logger.py:82) 
