2019-03-02 02:03:03,225 [D] -:F:n:WD_1:wc.c:48	(at logger.py:129) 
2019-03-02 02:03:03,237 [D] ┌:F:n:WD_2:wc.c:48	(at logger.py:129) 
2019-03-02 02:03:03,237 [D] └:F:n:WD_2:wc.c:47	(at logger.py:129) 
2019-03-02 02:03:03,249 [D] ┌:F:n:WD_3:wc.c:48	(at logger.py:129) 
2019-03-02 02:03:03,249 [D] |:F:n:WD_3:wc.c:47	(at logger.py:129) 
2019-03-02 02:03:03,249 [D] └:F:n:WD_3:wc.c:46	(at logger.py:129) 
2019-03-02 02:03:03,260 [D] -:F:n:WD_1:wc.c:47	(at logger.py:129) 
2019-03-02 02:03:03,274 [D] ┌:F:n:WD_2:wc.c:47	(at logger.py:129) 
2019-03-02 02:03:03,274 [D] └:F:n:WD_2:wc.c:46	(at logger.py:129) 
2019-03-02 02:03:03,308 [D] ┌:C:c:WD_3:wc.c:47	(at logger.py:129) 
2019-03-02 02:03:03,309 [D] |:C:c:WD_3:wc.c:46	(at logger.py:129) 
2019-03-02 02:03:03,309 [D] └:C:c:WD_3:wc.c:45	(at logger.py:129) 
2019-03-02 02:03:03,343 [D] -:C:c:WD_1:wc.c:46	(at logger.py:129) 
2019-03-02 02:03:03,356 [D] ┌:F:n:WD_2:wc.c:46	(at logger.py:129) 
2019-03-02 02:03:03,357 [D] └:F:n:WD_2:wc.c:45	(at logger.py:129) 
2019-03-02 02:03:03,357 [D] ┌:C:c:WD_3:wc.c:46	(at logger.py:129) 
2019-03-02 02:03:03,357 [D] |:C:c:WD_3:wc.c:45	(at logger.py:129) 
2019-03-02 02:03:03,357 [D] └:C:c:WD_3:wc.c:43	(at logger.py:129) 
2019-03-02 02:03:03,368 [D] -:F:n:WD_1:wc.c:45	(at logger.py:129) 
2019-03-02 02:03:03,399 [D] ┌:C:c:WD_2:wc.c:45	(at logger.py:129) 
2019-03-02 02:03:03,399 [D] └:C:c:WD_2:wc.c:43	(at logger.py:129) 
2019-03-02 02:03:03,431 [D] ┌:C:c:WD_3:wc.c:45	(at logger.py:129) 
2019-03-02 02:03:03,432 [D] |:C:c:WD_3:wc.c:43	(at logger.py:129) 
2019-03-02 02:03:03,432 [D] └:C:c:WD_3:wc.c:42	(at logger.py:129) 
2019-03-02 02:03:03,432 [D]  : : :pass:wc.c:44	(at logger.py:129) 
2019-03-02 02:03:03,443 [D] -:F:n:WD_1:wc.c:43	(at logger.py:129) 
2019-03-02 02:03:03,454 [D] ┌:F:n:WD_2:wc.c:43	(at logger.py:129) 
2019-03-02 02:03:03,454 [D] └:F:n:WD_2:wc.c:42	(at logger.py:129) 
2019-03-02 02:03:03,454 [D] ┌:C:c:WD_3:wc.c:43	(at logger.py:129) 
2019-03-02 02:03:03,455 [D] |:C:c:WD_3:wc.c:42	(at logger.py:129) 
2019-03-02 02:03:03,455 [D] └:C:c:WD_3:wc.c:41	(at logger.py:129) 
2019-03-02 02:03:03,487 [D] -:C:c:WD_1:wc.c:42	(at logger.py:129) 
2019-03-02 02:03:03,498 [D] ┌:F:n:WD_2:wc.c:42	(at logger.py:129) 
2019-03-02 02:03:03,498 [D] └:F:n:WD_2:wc.c:41	(at logger.py:129) 
2019-03-02 02:03:03,510 [D] ┌:F:n:WD_3:wc.c:42	(at logger.py:129) 
2019-03-02 02:03:03,510 [D] |:F:n:WD_3:wc.c:41	(at logger.py:129) 
2019-03-02 02:03:03,510 [D] └:F:n:WD_3:wc.c:40	(at logger.py:129) 
2019-03-02 02:03:03,522 [D] -:F:n:WD_1:wc.c:41	(at logger.py:129) 
2019-03-02 02:03:03,533 [D] ┌:F:n:WD_2:wc.c:41	(at logger.py:129) 
2019-03-02 02:03:03,533 [D] └:F:n:WD_2:wc.c:40	(at logger.py:129) 
2019-03-02 02:03:03,544 [D] ┌:F:n:WD_3:wc.c:41	(at logger.py:129) 
2019-03-02 02:03:03,544 [D] |:F:n:WD_3:wc.c:40	(at logger.py:129) 
2019-03-02 02:03:03,544 [D] └:F:n:WD_3:wc.c:39	(at logger.py:129) 
2019-03-02 02:03:03,557 [D] -:F:n:WD_1:wc.c:40	(at logger.py:129) 
