2019-03-02 02:03:04,183 [D] total_lines:48	(at logger.py:74) 
2019-03-02 02:03:04,183 [D] iteration_cnt:3	(at logger.py:75) 
2019-03-02 02:03:04,183 [D] comp_cached_cnt:32	(at logger.py:79) 
2019-03-02 02:03:04,183 [D] compile_cnt:252	(at logger.py:79) 
2019-03-02 02:03:04,183 [D] execute_cnt:34	(at logger.py:79) 
2019-03-02 02:03:04,183 [D] fail_del_cnt:45	(at logger.py:79) 
2019-03-02 02:03:04,183 [D] reuse_cnt:29	(at logger.py:79) 
2019-03-02 02:03:04,184 [D] succ_del_cnt:18	(at logger.py:79) 
2019-03-02 02:03:04,184 [D] time:5.193144083023071	(at logger.py:80) 
2019-03-02 02:03:04,184 [D] deletion:20	(at logger.py:82) 
