2019-03-02 01:40:38,916 [I] Curr factor: [1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 01:40:39,115 [I] Response: [True, True, False, True, True, True, False, False, True, True, True, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:39,115 [I] Iter idx: 15, Qsize: 84	(at main.py:59) 
2019-03-02 01:40:39,115 [I] Curr factor: [0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:39,284 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:39,284 [I] Iter idx: 16, Qsize: 83	(at main.py:59) 
2019-03-02 01:40:39,284 [I] Curr factor: [0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:39,444 [I] Response: [True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:39,444 [I] Iter idx: 17, Qsize: 82	(at main.py:59) 
2019-03-02 01:40:39,444 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:39,629 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, True, False, False, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:39,629 [I] Iter idx: 18, Qsize: 81	(at main.py:59) 
2019-03-02 01:40:39,629 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 01:40:39,817 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:39,817 [I] Iter idx: 19, Qsize: 80	(at main.py:59) 
2019-03-02 01:40:39,817 [I] Curr factor: [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:40,032 [I] Response: [True, True, True, True, False, True, True, True, True, True, True, True, True, False, False, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:40,032 [I] Iter idx: 20, Qsize: 79	(at main.py:59) 
2019-03-02 01:40:40,033 [I] Curr factor: [0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:40,217 [I] Response: [True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:40,217 [I] Iter idx: 21, Qsize: 78	(at main.py:59) 
2019-03-02 01:40:40,217 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:40,372 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:40,373 [I] Iter idx: 22, Qsize: 77	(at main.py:59) 
