2019-03-02 02:02:51,878 [D] total_lines:48	(at logger.py:74) 
2019-03-02 02:02:51,878 [D] iteration_cnt:3	(at logger.py:75) 
2019-03-02 02:02:51,879 [D] comp_cached_cnt:43	(at logger.py:79) 
2019-03-02 02:02:51,879 [D] compile_cnt:307	(at logger.py:79) 
2019-03-02 02:02:51,879 [D] execute_cnt:47	(at logger.py:79) 
2019-03-02 02:02:51,879 [D] fail_del_cnt:73	(at logger.py:79) 
2019-03-02 02:02:51,879 [D] reuse_cnt:36	(at logger.py:79) 
2019-03-02 02:02:51,879 [D] succ_del_cnt:10	(at logger.py:79) 
2019-03-02 02:02:51,879 [D] time:6.451267719268799	(at logger.py:80) 
2019-03-02 02:02:51,879 [D] deletion:11	(at logger.py:82) 
