2019-03-02 02:04:58,233 [I] 	(at main.py:29) 
2019-03-02 02:04:58,233 [I] ===== START - RUN ==============================================	(at main.py:32) 
2019-03-02 02:04:58,233 [D] Title: RUN, Job key: RUN_2019-03-02_02:04:58	(at main.py:40) 
2019-03-02 02:04:58,233 [I] Load config file.	(at main.py:56) 
2019-03-02 02:04:58,234 [D] Loading config from ['/home/bohrok/Documents/DM/output/orbs/mug/5/config/config.ini']	(at config.py:16) 
2019-03-02 02:04:58,234 [D] Load config successfully!	(at config.py:19) 
2019-03-02 02:04:58,234 [D] Initialize directory: .	(at workspace.py:10) 
2019-03-02 02:04:58,234 [I] Initialize workspace.	(at main.py:64) 
2019-03-02 02:04:58,234 [I] Working directory path: /home/bohrok/Documents/DM/output/orbs/mug/5/work	(at workspace.py:41) 
2019-03-02 02:04:58,237 [D] Record the config on workspace.	(at workspace.py:62) 
2019-03-02 02:04:58,237 [I] No PRE stage.	(at main.py:73) 
2019-03-02 02:04:58,237 [I] Construct SliceSpace.	(at main.py:76) 
2019-03-02 02:04:58,237 [I] Compile the system.	(at slicespace.py:148) 
2019-03-02 02:04:58,274 [I] Execute the system.	(at slicespace.py:160) 
2019-03-02 02:04:58,284 [I] Compile the system again (sanity check).	(at slicespace.py:174) 
2019-03-02 02:04:58,320 [I] Execute the system again (sanity check).	(at slicespace.py:188) 
2019-03-02 02:04:58,328 [I] Construct deletion operators.	(at main.py:80) 
2019-03-02 02:04:58,329 [I] Run ORBS stage.	(at main.py:85) 
2019-03-02 02:04:58,330 [I] ORBS starts...	(at orbs.py:53) 
2019-03-02 02:04:58,348 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/5/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:04:58,348 [D] -:F:n:WD_1:mug.c:63	(at logger.py:129) 
2019-03-02 02:04:58,365 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/5/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:04:58,365 [D] ┌:F:n:WD_2:mug.c:63	(at logger.py:129) 
2019-03-02 02:04:58,365 [D] └:F:n:WD_2:mug.c:62	(at logger.py:129) 
2019-03-02 02:04:58,380 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/5/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:04:58,381 [D] ┌:F:n:WD_3:mug.c:63	(at logger.py:129) 
2019-03-02 02:04:58,381 [D] |:F:n:WD_3:mug.c:62	(at logger.py:129) 
2019-03-02 02:04:58,381 [D] └:F:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:04:58,426 [D] -:C:n:WD_1:mug.c:62	(at logger.py:129) 
2019-03-02 02:04:58,443 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/5/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:04:58,443 [D] ┌:F:n:WD_2:mug.c:62	(at logger.py:129) 
2019-03-02 02:04:58,443 [D] └:F:n:WD_2:mug.c:61	(at logger.py:129) 
2019-03-02 02:04:58,460 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/5/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:04:58,460 [D] ┌:F:n:WD_3:mug.c:62	(at logger.py:129) 
2019-03-02 02:04:58,460 [D] |:F:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:04:58,460 [D] └:F:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:04:58,477 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/5/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:04:58,478 [D] -:F:n:WD_1:mug.c:61	(at logger.py:129) 
2019-03-02 02:04:58,495 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/5/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:04:58,495 [D] ┌:F:n:WD_2:mug.c:61	(at logger.py:129) 
2019-03-02 02:04:58,496 [D] └:F:n:WD_2:mug.c:60	(at logger.py:129) 
2019-03-02 02:04:58,533 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/5/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:04:58,534 [D] ┌:F:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:04:58,534 [D] |:F:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:04:58,534 [D] └:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:04:58,549 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/5/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:04:58,550 [D] -:F:n:WD_1:mug.c:60	(at logger.py:129) 
2019-03-02 02:04:58,565 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/5/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:04:58,565 [D] ┌:F:n:WD_2:mug.c:60	(at logger.py:129) 
2019-03-02 02:04:58,565 [D] └:F:n:WD_2:mug.c:59	(at logger.py:129) 
2019-03-02 02:04:58,582 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/5/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:04:58,582 [D] ┌:F:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:04:58,582 [D] |:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:04:58,582 [D] └:F:n:WD_3:mug.c:58	(at logger.py:129) 
2019-03-02 02:04:58,599 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/5/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:04:58,600 [D] -:F:n:WD_1:mug.c:59	(at logger.py:129) 
2019-03-02 02:04:58,615 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/5/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:04:58,616 [D] ┌:F:n:WD_2:mug.c:59	(at logger.py:129) 
2019-03-02 02:04:58,616 [D] └:F:n:WD_2:mug.c:58	(at logger.py:129) 
2019-03-02 02:04:58,632 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/5/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:04:58,632 [D] ┌:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:04:58,632 [D] |:F:n:WD_3:mug.c:58	(at logger.py:129) 
2019-03-02 02:04:58,632 [D] └:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:04:58,681 [D] -:P:n:WD_1:mug.c:58	(at logger.py:129) 
