2019-03-02 01:39:49,230 [I] Initial factor queue size: 22	(at doe_manager.py:29) 
2019-03-02 01:39:51,586 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:51,739 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:39:51,739 [I] Iter idx: 15, Qsize: 6	(at main.py:59) 
2019-03-02 01:39:51,739 [I] Curr factor: [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:51,895 [I] Response: [True, True, True, False, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:39:51,895 [I] Iter idx: 16, Qsize: 5	(at main.py:59) 
2019-03-02 01:39:51,895 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 01:39:52,058 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:39:52,059 [I] Iter idx: 17, Qsize: 4	(at main.py:59) 
2019-03-02 01:39:52,059 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:52,242 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:39:52,243 [I] Iter idx: 18, Qsize: 3	(at main.py:59) 
2019-03-02 01:39:52,243 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:52,427 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:39:52,427 [I] Iter idx: 19, Qsize: 2	(at main.py:59) 
2019-03-02 01:39:52,427 [I] Curr factor: [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:52,574 [I] Response: [True, True, False, True, True, True, False, False, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:39:52,575 [I] Iter idx: 20, Qsize: 1	(at main.py:59) 
2019-03-02 01:39:52,575 [I] Curr factor: [0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:52,715 [I] Response: [True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:39:52,716 [I] Iter idx: 21, Qsize: 0	(at main.py:59) 
2019-03-02 01:39:52,716 [I] Curr factor: [0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:53,080 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:39:53,080 [I] End iteration. Save model.	(at main.py:70) 
2019-03-02 01:39:53,173 [I] Model saved. End program.	(at main.py:72) 
