2019-03-02 02:02:03,293 [D] -:F:n:WD_1:wc.c:50	(at logger.py:129) 
2019-03-02 02:02:03,307 [D] ┌:F:n:WD_2:wc.c:50	(at logger.py:129) 
2019-03-02 02:02:03,307 [D] └:F:n:WD_2:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:03,320 [D] ┌:F:n:WD_3:wc.c:50	(at logger.py:129) 
2019-03-02 02:02:03,320 [D] |:F:n:WD_3:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:03,320 [D] └:F:n:WD_3:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:03,320 [D]  : : :pass:wc.c:49	(at logger.py:129) 
2019-03-02 02:02:03,320 [D]  : : :pass:wc.c:48	(at logger.py:129) 
2019-03-02 02:02:03,320 [D]  : : :pass:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:03,320 [D]  : : :pass:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:03,320 [D]  : : :pass:wc.c:45	(at logger.py:129) 
2019-03-02 02:02:03,320 [D]  : : :pass:wc.c:44	(at logger.py:129) 
2019-03-02 02:02:03,320 [D]  : : :pass:wc.c:43	(at logger.py:129) 
2019-03-02 02:02:03,321 [D]  : : :pass:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:03,321 [D]  : : :pass:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:03,321 [D]  : : :pass:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:03,321 [D]  : : :pass:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:03,321 [D]  : : :pass:wc.c:38	(at logger.py:129) 
2019-03-02 02:02:03,321 [D]  : : :pass:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:03,332 [D] -:F:n:WD_1:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:03,342 [D] ┌:F:n:WD_2:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:03,342 [D] └:F:n:WD_2:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:03,356 [D] ┌:F:n:WD_3:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:03,356 [D] |:F:n:WD_3:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:03,356 [D] └:F:n:WD_3:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:03,387 [D] -:C:c:WD_1:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:03,399 [D] ┌:F:n:WD_2:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:03,399 [D] └:F:n:WD_2:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:03,428 [D] ┌:C:c:WD_3:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:03,429 [D] |:C:c:WD_3:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:03,429 [D] └:C:c:WD_3:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:03,429 [D]  : : :pass:wc.c:34	(at logger.py:129) 
2019-03-02 02:02:03,429 [D] -:F:n:WD_1:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:03,460 [D] ┌:P:c:WD_2:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:03,460 [D] └:P:c:WD_2:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:03,460 [D]  : : :pass:wc.c:32	(at logger.py:129) 
2019-03-02 02:02:03,460 [D]  : : :pass:wc.c:31	(at logger.py:129) 
2019-03-02 02:02:03,461 [D]  : : :pass:wc.c:30	(at logger.py:129) 
2019-03-02 02:02:03,461 [D]  : : :pass:wc.c:29	(at logger.py:129) 
2019-03-02 02:02:03,461 [D]  : : :pass:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:03,461 [D]  : : :pass:wc.c:27	(at logger.py:129) 
2019-03-02 02:02:03,461 [D]  : : :pass:wc.c:26	(at logger.py:129) 
2019-03-02 02:02:03,461 [D]  : : :pass:wc.c:25	(at logger.py:129) 
2019-03-02 02:02:03,461 [D]  : : :pass:wc.c:24	(at logger.py:129) 
2019-03-02 02:02:03,461 [D]  : : :pass:wc.c:23	(at logger.py:129) 
2019-03-02 02:02:03,461 [D]  : : :pass:wc.c:22	(at logger.py:129) 
2019-03-02 02:02:03,461 [D]  : : :pass:wc.c:21	(at logger.py:129) 
2019-03-02 02:02:03,461 [D]  : : :pass:wc.c:20	(at logger.py:129) 
2019-03-02 02:02:03,461 [D]  : : :pass:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:03,461 [D]  : : :pass:wc.c:18	(at logger.py:129) 
2019-03-02 02:02:03,461 [D]  : : :pass:wc.c:17	(at logger.py:129) 
2019-03-02 02:02:03,474 [D] -:F:n:WD_1:wc.c:16	(at logger.py:129) 
2019-03-02 02:02:03,486 [D] ┌:F:n:WD_2:wc.c:16	(at logger.py:129) 
2019-03-02 02:02:03,486 [D] └:F:n:WD_2:wc.c:15	(at logger.py:129) 
2019-03-02 02:02:03,497 [D] ┌:F:n:WD_3:wc.c:16	(at logger.py:129) 
2019-03-02 02:02:03,497 [D] |:F:n:WD_3:wc.c:15	(at logger.py:129) 
2019-03-02 02:02:03,497 [D] └:F:n:WD_3:wc.c:14	(at logger.py:129) 
2019-03-02 02:02:03,530 [D] -:C:c:WD_1:wc.c:15	(at logger.py:129) 
2019-03-02 02:02:03,562 [D] ┌:C:c:WD_2:wc.c:15	(at logger.py:129) 
2019-03-02 02:02:03,562 [D] └:C:c:WD_2:wc.c:14	(at logger.py:129) 
2019-03-02 02:02:03,573 [D] ┌:F:n:WD_3:wc.c:15	(at logger.py:129) 
2019-03-02 02:02:03,573 [D] |:F:n:WD_3:wc.c:14	(at logger.py:129) 
2019-03-02 02:02:03,573 [D] └:F:n:WD_3:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:03,604 [D] -:C:c:WD_1:wc.c:14	(at logger.py:129) 
2019-03-02 02:02:03,616 [D] ┌:F:n:WD_2:wc.c:14	(at logger.py:129) 
2019-03-02 02:02:03,616 [D] └:F:n:WD_2:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:03,625 [D] ┌:F:n:WD_3:wc.c:14	(at logger.py:129) 
2019-03-02 02:02:03,626 [D] |:F:n:WD_3:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:03,626 [D] └:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:02:03,626 [D]  : : :pass:wc.c:13	(at logger.py:129) 
2019-03-02 02:02:03,626 [D]  : : :pass:wc.c:12	(at logger.py:129) 
2019-03-02 02:02:03,626 [D]  : : :pass:wc.c:11	(at logger.py:129) 
2019-03-02 02:02:03,626 [D]  : : :pass:wc.c:10	(at logger.py:129) 
2019-03-02 02:02:03,638 [D] -:F:n:WD_1:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:03,649 [D] ┌:F:n:WD_2:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:03,649 [D] └:F:n:WD_2:wc.c:4	(at logger.py:129) 
2019-03-02 02:02:03,661 [D] ┌:F:n:WD_3:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:03,661 [D] |:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:02:03,661 [D] └:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:02:03,662 [D]  : : :pass:wc.c:8	(at logger.py:129) 
2019-03-02 02:02:03,662 [D]  : : :pass:wc.c:7	(at logger.py:129) 
2019-03-02 02:02:03,662 [D]  : : :pass:wc.c:6	(at logger.py:129) 
2019-03-02 02:02:03,662 [D]  : : :pass:wc.c:5	(at logger.py:129) 
2019-03-02 02:02:03,676 [D] -:F:n:WD_1:wc.c:4	(at logger.py:129) 
2019-03-02 02:02:03,689 [D] ┌:F:n:WD_2:wc.c:4	(at logger.py:129) 
2019-03-02 02:02:03,690 [D] └:F:n:WD_2:wc.c:3	(at logger.py:129) 
2019-03-02 02:02:03,690 [D] ┌:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:02:03,690 [D] └:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:02:03,702 [D] -:F:n:WD_1:wc.c:3	(at logger.py:129) 
2019-03-02 02:02:03,702 [D] -:F:n:WD_2:wc.c:3	(at logger.py:129) 
2019-03-02 02:02:03,702 [D] -:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:02:03,702 [D]  : : :pass:wc.c:2	(at logger.py:129) 
