factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.25,5,0,15,5,20
18,0.875,0.2631578947368421,5,0,14,5,19
1,0.8,0.2777777777777778,5,0,13,5,18
3,0.7857142857142857,0.29411764705882354,5,0,12,5,17
2,0.75,0.3125,5,0,11,5,16
21,0.6666666666666666,0.3333333333333333,5,0,10,5,15
19,0.625,0.4166666666666667,5,0,7,5,12
20,0.6190476190476191,0.4166666666666667,5,0,7,5,12
9,0.5789473684210527,0.45454545454545453,5,0,6,5,11
15,0.5740740740740741,0.5,5,0,5,5,10
14,0.5576923076923077,0.5555555555555556,5,0,4,5,9
8,0.5172413793103449,0.5555555555555556,5,0,4,5,9
13,0.5106382978723404,0.5555555555555556,5,0,4,5,9
6,0.42857142857142855,0.625,5,0,3,5,8
17,0.39473684210526316,0.7142857142857143,5,0,2,5,7
12,0.3783783783783784,0.8333333333333334,5,0,1,5,6
7,0.3333333333333333,1.0,5,0,0,5,5
11,0.23333333333333334,1.0,5,0,0,5,5
16,0.23333333333333334,1.0,5,0,0,5,5
4,0.0,0.4,2,3,0,5,2
5,0.0,0.4,2,3,0,5,2
10,0.0,0.4,2,3,0,5,2
