2019-03-02 02:02:36,373 [D] -:F:n:WD_1:wc.c:48	(at logger.py:129) 
2019-03-02 02:02:36,386 [D] ┌:F:n:WD_2:wc.c:48	(at logger.py:129) 
2019-03-02 02:02:36,386 [D] └:F:n:WD_2:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:36,398 [D] ┌:F:n:WD_3:wc.c:48	(at logger.py:129) 
2019-03-02 02:02:36,398 [D] |:F:n:WD_3:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:36,398 [D] └:F:n:WD_3:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:36,411 [D] -:F:n:WD_1:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:36,423 [D] ┌:F:n:WD_2:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:36,423 [D] └:F:n:WD_2:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:36,460 [D] ┌:C:c:WD_3:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:36,460 [D] |:C:c:WD_3:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:36,460 [D] └:C:c:WD_3:wc.c:45	(at logger.py:129) 
2019-03-02 02:02:36,495 [D] -:C:c:WD_1:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:36,505 [D] ┌:F:n:WD_2:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:36,505 [D] └:F:n:WD_2:wc.c:45	(at logger.py:129) 
2019-03-02 02:02:36,505 [D] ┌:C:c:WD_3:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:36,505 [D] |:C:c:WD_3:wc.c:45	(at logger.py:129) 
2019-03-02 02:02:36,505 [D] └:C:c:WD_3:wc.c:43	(at logger.py:129) 
2019-03-02 02:02:36,518 [D] -:F:n:WD_1:wc.c:45	(at logger.py:129) 
2019-03-02 02:02:36,551 [D] ┌:C:c:WD_2:wc.c:45	(at logger.py:129) 
2019-03-02 02:02:36,551 [D] └:C:c:WD_2:wc.c:43	(at logger.py:129) 
2019-03-02 02:02:36,583 [D] ┌:C:c:WD_3:wc.c:45	(at logger.py:129) 
2019-03-02 02:02:36,583 [D] |:C:c:WD_3:wc.c:43	(at logger.py:129) 
2019-03-02 02:02:36,583 [D] └:C:c:WD_3:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:36,583 [D]  : : :pass:wc.c:44	(at logger.py:129) 
2019-03-02 02:02:36,595 [D] -:F:n:WD_1:wc.c:43	(at logger.py:129) 
2019-03-02 02:02:36,605 [D] ┌:F:n:WD_2:wc.c:43	(at logger.py:129) 
2019-03-02 02:02:36,605 [D] └:F:n:WD_2:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:36,606 [D] ┌:C:c:WD_3:wc.c:43	(at logger.py:129) 
2019-03-02 02:02:36,606 [D] |:C:c:WD_3:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:36,606 [D] └:C:c:WD_3:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:36,639 [D] -:C:c:WD_1:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:36,652 [D] ┌:F:n:WD_2:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:36,652 [D] └:F:n:WD_2:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:36,665 [D] ┌:F:n:WD_3:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:36,665 [D] |:F:n:WD_3:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:36,666 [D] └:F:n:WD_3:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:36,677 [D] -:F:n:WD_1:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:36,689 [D] ┌:F:n:WD_2:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:36,689 [D] └:F:n:WD_2:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:36,702 [D] ┌:F:n:WD_3:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:36,702 [D] |:F:n:WD_3:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:36,702 [D] └:F:n:WD_3:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:36,716 [D] -:F:n:WD_1:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:36,747 [D] ┌:C:c:WD_2:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:36,748 [D] └:C:c:WD_2:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:36,757 [D] ┌:F:n:WD_3:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:36,757 [D] |:F:n:WD_3:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:36,757 [D] └:F:n:WD_3:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:36,769 [D] -:F:n:WD_1:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:36,781 [D] ┌:F:n:WD_2:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:36,781 [D] └:F:n:WD_2:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:36,793 [D] ┌:F:n:WD_3:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:36,794 [D] |:F:n:WD_3:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:36,794 [D] └:F:n:WD_3:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:36,794 [D]  : : :pass:wc.c:38	(at logger.py:129) 
2019-03-02 02:02:36,804 [D] -:F:n:WD_1:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:36,819 [D] ┌:F:n:WD_2:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:36,819 [D] └:F:n:WD_2:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:36,851 [D] ┌:F:n:WD_3:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:36,851 [D] |:F:n:WD_3:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:36,851 [D] └:F:n:WD_3:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:36,866 [D] -:F:n:WD_1:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:36,879 [D] ┌:F:n:WD_2:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:36,879 [D] └:F:n:WD_2:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:36,890 [D] ┌:F:n:WD_3:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:36,890 [D] |:F:n:WD_3:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:36,890 [D] └:F:n:WD_3:wc.c:34	(at logger.py:129) 
2019-03-02 02:02:36,904 [D] -:F:n:WD_1:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:36,918 [D] ┌:F:n:WD_2:wc.c:35	(at logger.py:129) 
