factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.44,11,0,14,11,25
8,0.5333333333333333,0.4583333333333333,11,0,13,11,24
6,0.5,0.5238095238095238,11,0,10,11,21
4,0.48148148148148145,0.55,11,0,9,11,20
9,0.4642857142857143,0.5789473684210527,11,0,8,11,19
2,0.4411764705882353,0.6111111111111112,11,0,7,11,18
3,0.41379310344827586,0.6470588235294118,11,0,6,11,17
1,0.0,0.5882352941176471,10,1,6,11,16
5,0.0,0.4117647058823529,7,4,6,11,13
7,0.0,0.35294117647058826,6,5,6,11,12
