2019-03-02 02:03:07,094 [D] -:F:n:WD_1:wc.c:48	(at logger.py:129) 
2019-03-02 02:03:07,105 [D] ┌:F:n:WD_2:wc.c:48	(at logger.py:129) 
2019-03-02 02:03:07,105 [D] └:F:n:WD_2:wc.c:47	(at logger.py:129) 
2019-03-02 02:03:07,116 [D] ┌:F:n:WD_3:wc.c:48	(at logger.py:129) 
2019-03-02 02:03:07,116 [D] |:F:n:WD_3:wc.c:47	(at logger.py:129) 
2019-03-02 02:03:07,116 [D] └:F:n:WD_3:wc.c:41	(at logger.py:129) 
2019-03-02 02:03:07,129 [D] -:F:n:WD_1:wc.c:47	(at logger.py:129) 
2019-03-02 02:03:07,163 [D] ┌:P:c:WD_2:wc.c:47	(at logger.py:129) 
2019-03-02 02:03:07,163 [D] └:P:c:WD_2:wc.c:41	(at logger.py:129) 
2019-03-02 02:03:07,163 [D]  : : :pass:wc.c:46	(at logger.py:129) 
2019-03-02 02:03:07,163 [D]  : : :pass:wc.c:45	(at logger.py:129) 
2019-03-02 02:03:07,163 [D]  : : :pass:wc.c:44	(at logger.py:129) 
2019-03-02 02:03:07,163 [D]  : : :pass:wc.c:43	(at logger.py:129) 
2019-03-02 02:03:07,163 [D]  : : :pass:wc.c:42	(at logger.py:129) 
2019-03-02 02:03:07,163 [D]  : : :pass:wc.c:41	(at logger.py:129) 
2019-03-02 02:03:07,163 [D]  : : :pass:wc.c:40	(at logger.py:129) 
2019-03-02 02:03:07,163 [D]  : : :pass:wc.c:39	(at logger.py:129) 
2019-03-02 02:03:07,163 [D]  : : :pass:wc.c:38	(at logger.py:129) 
2019-03-02 02:03:07,204 [D] -:C:n:WD_1:wc.c:37	(at logger.py:129) 
2019-03-02 02:03:07,215 [D] ┌:F:n:WD_2:wc.c:37	(at logger.py:129) 
2019-03-02 02:03:07,215 [D] └:F:n:WD_2:wc.c:35	(at logger.py:129) 
2019-03-02 02:03:07,228 [D] ┌:F:n:WD_3:wc.c:37	(at logger.py:129) 
2019-03-02 02:03:07,228 [D] |:F:n:WD_3:wc.c:35	(at logger.py:129) 
2019-03-02 02:03:07,228 [D] └:F:n:WD_3:wc.c:34	(at logger.py:129) 
2019-03-02 02:03:07,228 [D]  : : :pass:wc.c:36	(at logger.py:129) 
2019-03-02 02:03:07,240 [D] -:F:n:WD_1:wc.c:35	(at logger.py:129) 
2019-03-02 02:03:07,252 [D] ┌:F:n:WD_2:wc.c:35	(at logger.py:129) 
2019-03-02 02:03:07,252 [D] └:F:n:WD_2:wc.c:34	(at logger.py:129) 
2019-03-02 02:03:07,285 [D] ┌:F:n:WD_3:wc.c:35	(at logger.py:129) 
2019-03-02 02:03:07,285 [D] |:F:n:WD_3:wc.c:34	(at logger.py:129) 
2019-03-02 02:03:07,285 [D] └:F:n:WD_3:wc.c:33	(at logger.py:129) 
2019-03-02 02:03:07,296 [D] -:F:n:WD_1:wc.c:34	(at logger.py:129) 
2019-03-02 02:03:07,307 [D] ┌:F:n:WD_2:wc.c:34	(at logger.py:129) 
2019-03-02 02:03:07,307 [D] └:F:n:WD_2:wc.c:33	(at logger.py:129) 
2019-03-02 02:03:07,318 [D] ┌:F:n:WD_3:wc.c:34	(at logger.py:129) 
2019-03-02 02:03:07,318 [D] |:F:n:WD_3:wc.c:33	(at logger.py:129) 
2019-03-02 02:03:07,318 [D] └:F:n:WD_3:wc.c:32	(at logger.py:129) 
2019-03-02 02:03:07,330 [D] -:F:n:WD_1:wc.c:33	(at logger.py:129) 
2019-03-02 02:03:07,342 [D] ┌:F:n:WD_2:wc.c:33	(at logger.py:129) 
2019-03-02 02:03:07,342 [D] └:F:n:WD_2:wc.c:32	(at logger.py:129) 
2019-03-02 02:03:07,354 [D] ┌:F:n:WD_3:wc.c:33	(at logger.py:129) 
2019-03-02 02:03:07,354 [D] |:F:n:WD_3:wc.c:32	(at logger.py:129) 
2019-03-02 02:03:07,354 [D] └:F:n:WD_3:wc.c:31	(at logger.py:129) 
2019-03-02 02:03:07,364 [D] -:F:n:WD_1:wc.c:32	(at logger.py:129) 
2019-03-02 02:03:07,377 [D] ┌:F:n:WD_2:wc.c:32	(at logger.py:129) 
2019-03-02 02:03:07,377 [D] └:F:n:WD_2:wc.c:31	(at logger.py:129) 
2019-03-02 02:03:07,388 [D] ┌:F:n:WD_3:wc.c:32	(at logger.py:129) 
2019-03-02 02:03:07,388 [D] |:F:n:WD_3:wc.c:31	(at logger.py:129) 
2019-03-02 02:03:07,388 [D] └:F:n:WD_3:wc.c:26	(at logger.py:129) 
2019-03-02 02:03:07,399 [D] -:F:n:WD_1:wc.c:31	(at logger.py:129) 
2019-03-02 02:03:07,411 [D] ┌:F:n:WD_2:wc.c:31	(at logger.py:129) 
2019-03-02 02:03:07,411 [D] └:F:n:WD_2:wc.c:26	(at logger.py:129) 
2019-03-02 02:03:07,422 [D] ┌:F:n:WD_3:wc.c:31	(at logger.py:129) 
2019-03-02 02:03:07,422 [D] |:F:n:WD_3:wc.c:26	(at logger.py:129) 
2019-03-02 02:03:07,423 [D] └:F:n:WD_3:wc.c:23	(at logger.py:129) 
2019-03-02 02:03:07,423 [D]  : : :pass:wc.c:30	(at logger.py:129) 
2019-03-02 02:03:07,423 [D]  : : :pass:wc.c:29	(at logger.py:129) 
2019-03-02 02:03:07,423 [D]  : : :pass:wc.c:28	(at logger.py:129) 
2019-03-02 02:03:07,423 [D]  : : :pass:wc.c:27	(at logger.py:129) 
2019-03-02 02:03:07,433 [D] -:F:n:WD_1:wc.c:26	(at logger.py:129) 
2019-03-02 02:03:07,467 [D] ┌:P:c:WD_2:wc.c:26	(at logger.py:129) 
2019-03-02 02:03:07,467 [D] └:P:c:WD_2:wc.c:23	(at logger.py:129) 
2019-03-02 02:03:07,467 [D]  : : :pass:wc.c:25	(at logger.py:129) 
2019-03-02 02:03:07,467 [D]  : : :pass:wc.c:24	(at logger.py:129) 
2019-03-02 02:03:07,467 [D]  : : :pass:wc.c:23	(at logger.py:129) 
2019-03-02 02:03:07,467 [D]  : : :pass:wc.c:22	(at logger.py:129) 
2019-03-02 02:03:07,482 [D] -:F:n:WD_1:wc.c:21	(at logger.py:129) 
2019-03-02 02:03:07,496 [D] ┌:F:n:WD_2:wc.c:21	(at logger.py:129) 
2019-03-02 02:03:07,496 [D] └:F:n:WD_2:wc.c:20	(at logger.py:129) 
2019-03-02 02:03:07,545 [D] ┌:C:n:WD_3:wc.c:21	(at logger.py:129) 
2019-03-02 02:03:07,545 [D] |:C:n:WD_3:wc.c:20	(at logger.py:129) 
2019-03-02 02:03:07,545 [D] └:C:n:WD_3:wc.c:19	(at logger.py:129) 
2019-03-02 02:03:07,575 [D] -:C:c:WD_1:wc.c:20	(at logger.py:129) 
2019-03-02 02:03:07,587 [D] ┌:F:n:WD_2:wc.c:20	(at logger.py:129) 
2019-03-02 02:03:07,587 [D] └:F:n:WD_2:wc.c:19	(at logger.py:129) 
2019-03-02 02:03:07,587 [D] ┌:C:c:WD_3:wc.c:20	(at logger.py:129) 
2019-03-02 02:03:07,587 [D] |:C:c:WD_3:wc.c:19	(at logger.py:129) 
2019-03-02 02:03:07,587 [D] └:C:c:WD_3:wc.c:17	(at logger.py:129) 
2019-03-02 02:03:07,597 [D] -:F:n:WD_1:wc.c:19	(at logger.py:129) 
2019-03-02 02:03:07,630 [D] ┌:P:c:WD_2:wc.c:19	(at logger.py:129) 
2019-03-02 02:03:07,631 [D] └:P:c:WD_2:wc.c:17	(at logger.py:129) 
2019-03-02 02:03:07,631 [D]  : : :pass:wc.c:18	(at logger.py:129) 
2019-03-02 02:03:07,631 [D]  : : :pass:wc.c:17	(at logger.py:129) 
2019-03-02 02:03:07,631 [D]  : : :pass:wc.c:16	(at logger.py:129) 
2019-03-02 02:03:07,631 [D]  : : :pass:wc.c:15	(at logger.py:129) 
2019-03-02 02:03:07,643 [D] -:F:n:WD_1:wc.c:14	(at logger.py:129) 
2019-03-02 02:03:07,654 [D] ┌:F:n:WD_2:wc.c:14	(at logger.py:129) 
2019-03-02 02:03:07,654 [D] └:F:n:WD_2:wc.c:13	(at logger.py:129) 
2019-03-02 02:03:07,664 [D] ┌:F:n:WD_3:wc.c:14	(at logger.py:129) 
2019-03-02 02:03:07,664 [D] |:F:n:WD_3:wc.c:13	(at logger.py:129) 
2019-03-02 02:03:07,664 [D] └:F:n:WD_3:wc.c:9	(at logger.py:129) 
2019-03-02 02:03:07,711 [D] -:C:n:WD_1:wc.c:13	(at logger.py:129) 
2019-03-02 02:03:07,721 [D] ┌:F:n:WD_2:wc.c:13	(at logger.py:129) 
2019-03-02 02:03:07,721 [D] └:F:n:WD_2:wc.c:9	(at logger.py:129) 
2019-03-02 02:03:07,732 [D] ┌:F:n:WD_3:wc.c:13	(at logger.py:129) 
2019-03-02 02:03:07,732 [D] |:F:n:WD_3:wc.c:9	(at logger.py:129) 
2019-03-02 02:03:07,733 [D] └:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:03:07,733 [D]  : : :pass:wc.c:12	(at logger.py:129) 
2019-03-02 02:03:07,733 [D]  : : :pass:wc.c:11	(at logger.py:129) 
