2019-02-12 22:34:59,897 [D] -:F:n:WD_1:mbe.c:79	(at logger.py:129) 
2019-02-12 22:34:59,917 [D] ┌:F:n:WD_2:mbe.c:79	(at logger.py:129) 
2019-02-12 22:34:59,917 [D] └:F:n:WD_2:mbe.c:78	(at logger.py:129) 
2019-02-12 22:34:59,941 [D] ┌:F:n:WD_3:mbe.c:79	(at logger.py:129) 
2019-02-12 22:34:59,941 [D] |:F:n:WD_3:mbe.c:78	(at logger.py:129) 
2019-02-12 22:34:59,941 [D] └:F:n:WD_3:mbe.c:77	(at logger.py:129) 
2019-02-12 22:34:59,989 [D] -:P:n:WD_1:mbe.c:78	(at logger.py:129) 
2019-02-12 22:35:00,007 [D] -:F:n:WD_1:mbe.c:77	(at logger.py:129) 
2019-02-12 22:35:00,024 [D] ┌:F:n:WD_2:mbe.c:77	(at logger.py:129) 
2019-02-12 22:35:00,024 [D] └:F:n:WD_2:mbe.c:76	(at logger.py:129) 
2019-02-12 22:35:00,039 [D] ┌:F:n:WD_3:mbe.c:77	(at logger.py:129) 
2019-02-12 22:35:00,039 [D] |:F:n:WD_3:mbe.c:76	(at logger.py:129) 
2019-02-12 22:35:00,039 [D] └:F:n:WD_3:mbe.c:75	(at logger.py:129) 
2019-02-12 22:35:00,054 [D] -:F:n:WD_1:mbe.c:76	(at logger.py:129) 
2019-02-12 22:35:00,070 [D] ┌:F:n:WD_2:mbe.c:76	(at logger.py:129) 
2019-02-12 22:35:00,071 [D] └:F:n:WD_2:mbe.c:75	(at logger.py:129) 
2019-02-12 22:35:00,090 [D] ┌:F:n:WD_3:mbe.c:76	(at logger.py:129) 
2019-02-12 22:35:00,090 [D] |:F:n:WD_3:mbe.c:75	(at logger.py:129) 
2019-02-12 22:35:00,090 [D] └:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 22:35:00,127 [D] -:P:c:WD_1:mbe.c:75	(at logger.py:129) 
2019-02-12 22:35:00,149 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 22:35:00,164 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
