2019-03-02 02:01:56,719 [D] -:F:n:WD_1:wc.c:48	(at logger.py:129) 
2019-03-02 02:01:56,734 [D] ┌:F:n:WD_2:wc.c:48	(at logger.py:129) 
2019-03-02 02:01:56,735 [D] └:F:n:WD_2:wc.c:47	(at logger.py:129) 
2019-03-02 02:01:56,748 [D] ┌:F:n:WD_3:wc.c:48	(at logger.py:129) 
2019-03-02 02:01:56,748 [D] |:F:n:WD_3:wc.c:47	(at logger.py:129) 
2019-03-02 02:01:56,748 [D] └:F:n:WD_3:wc.c:46	(at logger.py:129) 
2019-03-02 02:01:56,761 [D] -:F:n:WD_1:wc.c:47	(at logger.py:129) 
2019-03-02 02:01:56,774 [D] ┌:F:n:WD_2:wc.c:47	(at logger.py:129) 
2019-03-02 02:01:56,774 [D] └:F:n:WD_2:wc.c:46	(at logger.py:129) 
2019-03-02 02:01:56,787 [D] ┌:F:n:WD_3:wc.c:47	(at logger.py:129) 
2019-03-02 02:01:56,787 [D] |:F:n:WD_3:wc.c:46	(at logger.py:129) 
2019-03-02 02:01:56,787 [D] └:F:n:WD_3:wc.c:45	(at logger.py:129) 
2019-03-02 02:01:56,842 [D] -:P:n:WD_1:wc.c:46	(at logger.py:129) 
2019-03-02 02:01:56,856 [D] -:F:n:WD_1:wc.c:45	(at logger.py:129) 
2019-03-02 02:01:56,869 [D] ┌:F:n:WD_2:wc.c:45	(at logger.py:129) 
2019-03-02 02:01:56,869 [D] └:F:n:WD_2:wc.c:44	(at logger.py:129) 
2019-03-02 02:01:56,906 [D] ┌:P:c:WD_3:wc.c:45	(at logger.py:129) 
2019-03-02 02:01:56,906 [D] |:P:c:WD_3:wc.c:44	(at logger.py:129) 
2019-03-02 02:01:56,906 [D] └:P:c:WD_3:wc.c:43	(at logger.py:129) 
2019-03-02 02:01:56,906 [D]  : : :pass:wc.c:44	(at logger.py:129) 
2019-03-02 02:01:56,906 [D]  : : :pass:wc.c:43	(at logger.py:129) 
2019-03-02 02:01:56,954 [D] -:P:n:WD_1:wc.c:42	(at logger.py:129) 
2019-03-02 02:01:56,968 [D] -:F:n:WD_1:wc.c:41	(at logger.py:129) 
2019-03-02 02:01:56,982 [D] ┌:F:n:WD_2:wc.c:41	(at logger.py:129) 
2019-03-02 02:01:56,982 [D] └:F:n:WD_2:wc.c:40	(at logger.py:129) 
2019-03-02 02:01:56,996 [D] ┌:F:n:WD_3:wc.c:41	(at logger.py:129) 
2019-03-02 02:01:56,996 [D] |:F:n:WD_3:wc.c:40	(at logger.py:129) 
2019-03-02 02:01:56,996 [D] └:F:n:WD_3:wc.c:39	(at logger.py:129) 
2019-03-02 02:01:57,010 [D] -:F:n:WD_1:wc.c:40	(at logger.py:129) 
2019-03-02 02:01:57,044 [D] ┌:P:c:WD_2:wc.c:40	(at logger.py:129) 
2019-03-02 02:01:57,044 [D] └:P:c:WD_2:wc.c:39	(at logger.py:129) 
2019-03-02 02:01:57,045 [D]  : : :pass:wc.c:39	(at logger.py:129) 
2019-03-02 02:01:57,090 [D] -:P:n:WD_1:wc.c:38	(at logger.py:129) 
2019-03-02 02:01:57,105 [D] -:F:n:WD_1:wc.c:37	(at logger.py:129) 
2019-03-02 02:01:57,119 [D] ┌:F:n:WD_2:wc.c:37	(at logger.py:129) 
2019-03-02 02:01:57,120 [D] └:F:n:WD_2:wc.c:36	(at logger.py:129) 
2019-03-02 02:01:57,153 [D] ┌:F:n:WD_3:wc.c:37	(at logger.py:129) 
2019-03-02 02:01:57,153 [D] |:F:n:WD_3:wc.c:36	(at logger.py:129) 
2019-03-02 02:01:57,153 [D] └:F:n:WD_3:wc.c:35	(at logger.py:129) 
2019-03-02 02:01:57,169 [D] -:F:n:WD_1:wc.c:36	(at logger.py:129) 
2019-03-02 02:01:57,182 [D] ┌:F:n:WD_2:wc.c:36	(at logger.py:129) 
2019-03-02 02:01:57,182 [D] └:F:n:WD_2:wc.c:35	(at logger.py:129) 
2019-03-02 02:01:57,196 [D] ┌:F:n:WD_3:wc.c:36	(at logger.py:129) 
2019-03-02 02:01:57,196 [D] |:F:n:WD_3:wc.c:35	(at logger.py:129) 
2019-03-02 02:01:57,196 [D] └:F:n:WD_3:wc.c:34	(at logger.py:129) 
2019-03-02 02:01:57,209 [D] -:F:n:WD_1:wc.c:35	(at logger.py:129) 
2019-03-02 02:01:57,223 [D] ┌:F:n:WD_2:wc.c:35	(at logger.py:129) 
2019-03-02 02:01:57,223 [D] └:F:n:WD_2:wc.c:34	(at logger.py:129) 
2019-03-02 02:01:57,237 [D] ┌:F:n:WD_3:wc.c:35	(at logger.py:129) 
