2019-03-02 02:01:59,725 [D] total_lines:48	(at logger.py:74) 
2019-03-02 02:01:59,725 [D] iteration_cnt:5	(at logger.py:75) 
2019-03-02 02:01:59,725 [D] comp_cached_cnt:24	(at logger.py:79) 
2019-03-02 02:01:59,725 [D] compile_cnt:145	(at logger.py:79) 
2019-03-02 02:01:59,725 [D] execute_cnt:18	(at logger.py:79) 
2019-03-02 02:01:59,725 [D] fail_del_cnt:11	(at logger.py:79) 
2019-03-02 02:01:59,725 [D] reuse_cnt:23	(at logger.py:79) 
2019-03-02 02:01:59,725 [D] succ_del_cnt:30	(at logger.py:79) 
2019-03-02 02:01:59,725 [D] time:3.0205419063568115	(at logger.py:80) 
2019-03-02 02:01:59,725 [D] deletion:43	(at logger.py:82) 
