2019-02-12 21:28:42,671 [I] 	(at main.py:29) 
2019-02-12 21:28:42,671 [I] ===== START - RUN ==============================================	(at main.py:32) 
2019-02-12 21:28:42,671 [I] Load config file.	(at main.py:56) 
2019-02-12 21:28:42,672 [I] Initialize workspace.	(at main.py:64) 
2019-02-12 21:28:42,672 [I] Working directory path: /home/bohrok/Documents/DM/output/orbs/mbe/5/work	(at workspace.py:41) 
2019-02-12 21:28:42,675 [I] No PRE stage.	(at main.py:73) 
2019-02-12 21:28:42,675 [I] Construct SliceSpace.	(at main.py:76) 
2019-02-12 21:28:42,675 [I] Compile the system.	(at slicespace.py:148) 
2019-02-12 21:28:42,718 [I] Execute the system.	(at slicespace.py:160) 
2019-02-12 21:28:42,729 [I] Compile the system again (sanity check).	(at slicespace.py:174) 
2019-02-12 21:28:42,773 [I] Execute the system again (sanity check).	(at slicespace.py:188) 
2019-02-12 21:28:42,793 [I] Construct deletion operators.	(at main.py:80) 
2019-02-12 21:28:42,794 [I] Run ORBS stage.	(at main.py:85) 
2019-02-12 21:28:42,795 [I] ORBS starts...	(at orbs.py:53) 
2019-02-12 21:28:59,453 [I] Iteration 1 finished	(at orbs.py:87) 
2019-02-12 21:29:10,196 [I] Iteration 2 finished	(at orbs.py:87) 
2019-02-12 21:29:13,424 [I] Iteration 3 finished	(at orbs.py:87) 
2019-02-12 21:29:13,425 [I] ORBS fin.	(at orbs.py:91) 
2019-02-12 21:29:13,425 [I] ===== END - RUN ==============================================	(at main.py:95) 
2019-02-12 21:29:13,425 [I] 	(at main.py:96) 
