factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.25,5,0,15,5,20
19,0.3333333333333333,0.3125,5,0,11,5,16
20,0.2,0.3125,5,0,11,5,16
21,0.2,0.3125,5,0,11,5,16
1,0.14285714285714285,0.3333333333333333,5,0,10,5,15
2,0.14285714285714285,0.35714285714285715,5,0,9,5,14
3,0.14285714285714285,0.38461538461538464,5,0,8,5,13
14,0.14285714285714285,0.4166666666666667,5,0,7,5,12
15,0.14285714285714285,0.45454545454545453,5,0,6,5,11
18,0.14285714285714285,0.5,5,0,5,5,10
8,0.11538461538461539,0.5555555555555556,5,0,4,5,9
9,0.1111111111111111,0.5555555555555556,5,0,4,5,9
12,0.1111111111111111,0.625,5,0,3,5,8
13,0.1111111111111111,0.625,5,0,3,5,8
17,0.1111111111111111,0.7142857142857143,5,0,2,5,7
6,0.08333333333333333,0.8333333333333334,5,0,1,5,6
7,0.08333333333333333,1.0,5,0,0,5,5
11,0.07692307692307693,1.0,5,0,0,5,5
16,0.07692307692307693,1.0,5,0,0,5,5
4,0.0,0.4,2,3,0,5,2
5,0.0,0.4,2,3,0,5,2
10,0.0,0.4,2,3,0,5,2
