2019-02-12 22:37:23,925 [D] total_lines:79	(at logger.py:74) 
2019-02-12 22:37:23,925 [D] iteration_cnt:3	(at logger.py:75) 
2019-02-12 22:37:23,925 [D] comp_cached_cnt:81	(at logger.py:79) 
2019-02-12 22:37:23,925 [D] compile_cnt:395	(at logger.py:79) 
2019-02-12 22:37:23,925 [D] execute_cnt:63	(at logger.py:79) 
2019-02-12 22:37:23,925 [D] fail_del_cnt:73	(at logger.py:79) 
2019-02-12 22:37:23,925 [D] reuse_cnt:36	(at logger.py:79) 
2019-02-12 22:37:23,925 [D] succ_del_cnt:26	(at logger.py:79) 
2019-02-12 22:37:23,925 [D] time:26.322476148605347	(at logger.py:80) 
2019-02-12 22:37:23,925 [D] deletion:32	(at logger.py:82) 
