2019-03-02 02:02:43,462 [D] -:F:n:WD_1:wc.c:48	(at logger.py:129) 
2019-03-02 02:02:43,475 [D] ┌:F:n:WD_2:wc.c:48	(at logger.py:129) 
2019-03-02 02:02:43,475 [D] └:F:n:WD_2:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:43,489 [D] ┌:F:n:WD_3:wc.c:48	(at logger.py:129) 
2019-03-02 02:02:43,489 [D] |:F:n:WD_3:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:43,489 [D] └:F:n:WD_3:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:43,501 [D] -:F:n:WD_1:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:43,513 [D] ┌:F:n:WD_2:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:43,513 [D] └:F:n:WD_2:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:43,546 [D] ┌:C:c:WD_3:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:43,546 [D] |:C:c:WD_3:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:43,546 [D] └:C:c:WD_3:wc.c:45	(at logger.py:129) 
2019-03-02 02:02:43,577 [D] -:C:c:WD_1:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:43,590 [D] ┌:F:n:WD_2:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:43,590 [D] └:F:n:WD_2:wc.c:45	(at logger.py:129) 
2019-03-02 02:02:43,590 [D] ┌:C:c:WD_3:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:43,590 [D] |:C:c:WD_3:wc.c:45	(at logger.py:129) 
2019-03-02 02:02:43,590 [D] └:C:c:WD_3:wc.c:43	(at logger.py:129) 
2019-03-02 02:02:43,600 [D] -:F:n:WD_1:wc.c:45	(at logger.py:129) 
2019-03-02 02:02:43,632 [D] ┌:C:c:WD_2:wc.c:45	(at logger.py:129) 
2019-03-02 02:02:43,632 [D] └:C:c:WD_2:wc.c:43	(at logger.py:129) 
2019-03-02 02:02:43,663 [D] ┌:C:c:WD_3:wc.c:45	(at logger.py:129) 
2019-03-02 02:02:43,663 [D] |:C:c:WD_3:wc.c:43	(at logger.py:129) 
2019-03-02 02:02:43,663 [D] └:C:c:WD_3:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:43,663 [D]  : : :pass:wc.c:44	(at logger.py:129) 
2019-03-02 02:02:43,675 [D] -:F:n:WD_1:wc.c:43	(at logger.py:129) 
2019-03-02 02:02:43,686 [D] ┌:F:n:WD_2:wc.c:43	(at logger.py:129) 
2019-03-02 02:02:43,686 [D] └:F:n:WD_2:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:43,686 [D] ┌:C:c:WD_3:wc.c:43	(at logger.py:129) 
2019-03-02 02:02:43,686 [D] |:C:c:WD_3:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:43,686 [D] └:C:c:WD_3:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:43,717 [D] -:C:c:WD_1:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:43,728 [D] ┌:F:n:WD_2:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:43,728 [D] └:F:n:WD_2:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:43,740 [D] ┌:F:n:WD_3:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:43,740 [D] |:F:n:WD_3:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:43,740 [D] └:F:n:WD_3:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:43,752 [D] -:F:n:WD_1:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:43,762 [D] ┌:F:n:WD_2:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:43,762 [D] └:F:n:WD_2:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:43,775 [D] ┌:F:n:WD_3:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:43,775 [D] |:F:n:WD_3:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:43,775 [D] └:F:n:WD_3:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:43,787 [D] -:F:n:WD_1:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:43,821 [D] ┌:C:c:WD_2:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:43,821 [D] └:C:c:WD_2:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:43,833 [D] ┌:F:n:WD_3:wc.c:40	(at logger.py:129) 
