2019-01-23 05:34:02,519 [I] Initial factor queue size: 22	(at doe_manager.py:29) 
2019-01-23 05:34:05,651 [I] Iter idx: 15, Qsize: 6	(at main.py:51) 
2019-01-23 05:34:05,651 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:05,755 [I] Response: [True, True, False, False, False, False, False, False, True, True, True, False, False, False, False, True]	(at main.py:56) 
2019-01-23 05:34:05,755 [I] Iter idx: 16, Qsize: 5	(at main.py:51) 
2019-01-23 05:34:05,755 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:06,089 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:06,089 [I] Iter idx: 17, Qsize: 4	(at main.py:51) 
2019-01-23 05:34:06,089 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:06,424 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:06,424 [I] Iter idx: 18, Qsize: 3	(at main.py:51) 
2019-01-23 05:34:06,424 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:06,762 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:06,762 [I] Iter idx: 19, Qsize: 2	(at main.py:51) 
2019-01-23 05:34:06,762 [I] Curr factor: [0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:07,099 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:07,099 [I] Iter idx: 20, Qsize: 1	(at main.py:51) 
2019-01-23 05:34:07,100 [I] Curr factor: [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:07,202 [I] Response: [True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:07,202 [I] Iter idx: 21, Qsize: 0	(at main.py:51) 
2019-01-23 05:34:07,202 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	(at main.py:53) 
2019-01-23 05:34:07,302 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:56) 
2019-01-23 05:34:07,302 [I] End iteration. Save model.	(at main.py:62) 
2019-01-23 05:34:07,324 [I] Model saved. End program.	(at main.py:64) 
