factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.8076923076923077,21,0,5,21,26
11,1.0,0.84,21,0,4,21,25
21,1.0,0.875,21,0,3,21,24
13,0.5,0.8333333333333334,20,1,3,21,23
1,0.0,0.7916666666666666,19,2,3,21,22
2,0.0,0.75,18,3,3,21,21
3,0.0,0.5,12,9,3,21,15
4,0.0,0.5,12,9,3,21,15
5,0.0,0.5,12,9,3,21,15
6,0.0,0.5,12,9,3,21,15
7,0.0,0.5,12,9,3,21,15
8,0.0,0.5,12,9,3,21,15
9,0.0,0.5,12,9,3,21,15
10,0.0,0.5,12,9,3,21,15
12,0.0,0.4782608695652174,11,10,2,21,13
14,0.0,0.4782608695652174,11,10,2,21,13
15,0.0,0.391304347826087,9,12,2,21,11
16,0.0,0.391304347826087,9,12,2,21,11
17,0.0,0.4090909090909091,9,12,1,21,10
18,0.0,0.36363636363636365,8,13,1,21,9
19,0.0,0.3181818181818182,7,14,1,21,8
20,0.0,0.2727272727272727,6,15,1,21,7
