factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.5,10,0,10,10,20
1,1.0,0.5263157894736842,10,0,9,10,19
2,1.0,0.5555555555555556,10,0,8,10,18
3,1.0,0.5882352941176471,10,0,7,10,17
18,1.0,0.625,10,0,6,10,16
9,0.6,0.6666666666666666,10,0,5,10,15
14,0.5714285714285714,0.7142857142857143,10,0,4,10,14
15,0.5714285714285714,0.7692307692307693,10,0,3,10,13
8,0.5,0.7692307692307693,10,0,3,10,13
13,0.5,0.7692307692307693,10,0,3,10,13
20,0.5,0.6923076923076923,9,1,3,10,12
12,0.4,0.75,9,1,2,10,11
6,0.3333333333333333,0.8181818181818182,9,1,1,10,10
7,0.3333333333333333,0.9,9,1,0,10,9
11,0.25,0.9,9,1,0,10,9
4,0.0,0.5,5,5,0,10,5
5,0.0,0.5,5,5,0,10,5
10,0.0,0.5,5,5,0,10,5
16,0.0,0.5,5,5,0,10,5
17,0.0,0.5,5,5,0,10,5
19,0.0,0.2,2,8,0,10,2
21,0.0,0.2,2,8,0,10,2
