2019-03-02 02:04:43,047 [D] total_lines:63	(at logger.py:74) 
2019-03-02 02:04:43,047 [D] iteration_cnt:4	(at logger.py:75) 
2019-03-02 02:04:43,047 [D] comp_cached_cnt:20	(at logger.py:79) 
2019-03-02 02:04:43,047 [D] compile_cnt:205	(at logger.py:79) 
2019-03-02 02:04:43,047 [D] execute_cnt:35	(at logger.py:79) 
2019-03-02 02:04:43,047 [D] fail_del_cnt:20	(at logger.py:79) 
2019-03-02 02:04:43,047 [D] reuse_cnt:24	(at logger.py:79) 
2019-03-02 02:04:43,047 [D] succ_del_cnt:39	(at logger.py:79) 
2019-03-02 02:04:43,047 [D] time:5.157421112060547	(at logger.py:80) 
2019-03-02 02:04:43,047 [D] deletion:57	(at logger.py:82) 
