factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.08,2,0,23,2,25
2,0.8888888888888888,0.08333333333333333,2,0,22,2,24
3,0.8888888888888888,0.08695652173913043,2,0,21,2,23
4,0.8888888888888888,0.09090909090909091,2,0,20,2,22
5,0.8888888888888888,0.10526315789473684,2,0,17,2,19
6,0.8888888888888888,0.125,2,0,14,2,16
7,0.8888888888888888,0.13333333333333333,2,0,13,2,15
8,0.8888888888888888,0.14285714285714285,2,0,12,2,14
9,0.8888888888888888,0.15384615384615385,2,0,11,2,13
1,0.0,0.07692307692307693,1,1,11,2,12
