2019-02-12 22:30:56,029 [D] -:F:n:WD_1:mbe.c:79	(at logger.py:129) 
2019-02-12 22:30:56,051 [D] ┌:F:n:WD_2:mbe.c:79	(at logger.py:129) 
2019-02-12 22:30:56,051 [D] └:F:n:WD_2:mbe.c:78	(at logger.py:129) 
2019-02-12 22:30:56,069 [D] ┌:F:n:WD_3:mbe.c:79	(at logger.py:129) 
2019-02-12 22:30:56,069 [D] |:F:n:WD_3:mbe.c:78	(at logger.py:129) 
2019-02-12 22:30:56,069 [D] └:F:n:WD_3:mbe.c:77	(at logger.py:129) 
2019-02-12 22:30:56,119 [D] -:P:n:WD_1:mbe.c:78	(at logger.py:129) 
2019-02-12 22:30:56,136 [D] -:F:n:WD_1:mbe.c:77	(at logger.py:129) 
2019-02-12 22:30:56,158 [D] ┌:F:n:WD_2:mbe.c:77	(at logger.py:129) 
2019-02-12 22:30:56,158 [D] └:F:n:WD_2:mbe.c:76	(at logger.py:129) 
2019-02-12 22:30:56,177 [D] ┌:F:n:WD_3:mbe.c:77	(at logger.py:129) 
2019-02-12 22:30:56,177 [D] |:F:n:WD_3:mbe.c:76	(at logger.py:129) 
2019-02-12 22:30:56,177 [D] └:F:n:WD_3:mbe.c:75	(at logger.py:129) 
2019-02-12 22:30:56,197 [D] -:F:n:WD_1:mbe.c:76	(at logger.py:129) 
2019-02-12 22:30:56,213 [D] ┌:F:n:WD_2:mbe.c:76	(at logger.py:129) 
2019-02-12 22:30:56,213 [D] └:F:n:WD_2:mbe.c:75	(at logger.py:129) 
2019-02-12 22:30:56,230 [D] ┌:F:n:WD_3:mbe.c:76	(at logger.py:129) 
2019-02-12 22:30:56,230 [D] |:F:n:WD_3:mbe.c:75	(at logger.py:129) 
2019-02-12 22:30:56,230 [D] └:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 22:30:56,265 [D] -:P:c:WD_1:mbe.c:75	(at logger.py:129) 
2019-02-12 22:30:56,283 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 22:30:56,306 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 22:30:56,306 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 22:30:56,324 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
