2019-03-02 02:02:15,598 [D] -:F:n:WD_1:wc.c:48	(at logger.py:129) 
2019-03-02 02:02:15,659 [D] |:F:n:WD_3:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:15,659 [D] └:F:n:WD_3:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:15,659 [D] -:F:n:WD_1:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:15,691 [D] ┌:P:c:WD_2:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:15,692 [D] └:P:c:WD_2:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:15,692 [D]  : : :pass:wc.c:32	(at logger.py:129) 
2019-03-02 02:02:15,692 [D]  : : :pass:wc.c:31	(at logger.py:129) 
2019-03-02 02:02:15,692 [D]  : : :pass:wc.c:30	(at logger.py:129) 
2019-03-02 02:02:15,692 [D]  : : :pass:wc.c:29	(at logger.py:129) 
2019-03-02 02:02:15,692 [D]  : : :pass:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:15,692 [D]  : : :pass:wc.c:27	(at logger.py:129) 
2019-03-02 02:02:15,692 [D]  : : :pass:wc.c:26	(at logger.py:129) 
2019-03-02 02:02:15,692 [D]  : : :pass:wc.c:25	(at logger.py:129) 
2019-03-02 02:02:15,692 [D]  : : :pass:wc.c:24	(at logger.py:129) 
2019-03-02 02:02:15,692 [D]  : : :pass:wc.c:23	(at logger.py:129) 
2019-03-02 02:02:15,692 [D]  : : :pass:wc.c:22	(at logger.py:129) 
2019-03-02 02:02:15,692 [D]  : : :pass:wc.c:21	(at logger.py:129) 
2019-03-02 02:02:15,692 [D]  : : :pass:wc.c:20	(at logger.py:129) 
2019-03-02 02:02:15,692 [D]  : : :pass:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:15,692 [D]  : : :pass:wc.c:18	(at logger.py:129) 
2019-03-02 02:02:15,726 [D] -:C:c:WD_1:wc.c:17	(at logger.py:129) 
2019-03-02 02:02:15,736 [D] ┌:F:n:WD_2:wc.c:17	(at logger.py:129) 
2019-03-02 02:02:15,737 [D] └:F:n:WD_2:wc.c:14	(at logger.py:129) 
2019-03-02 02:02:15,749 [D] ┌:F:n:WD_3:wc.c:17	(at logger.py:129) 
2019-03-02 02:02:15,750 [D] |:F:n:WD_3:wc.c:14	(at logger.py:129) 
2019-03-02 02:02:15,750 [D] └:F:n:WD_3:wc.c:13	(at logger.py:129) 
2019-03-02 02:02:15,750 [D]  : : :pass:wc.c:16	(at logger.py:129) 
2019-03-02 02:02:15,750 [D]  : : :pass:wc.c:15	(at logger.py:129) 
2019-03-02 02:02:15,762 [D] -:F:n:WD_1:wc.c:14	(at logger.py:129) 
2019-03-02 02:02:15,772 [D] ┌:F:n:WD_2:wc.c:14	(at logger.py:129) 
2019-03-02 02:02:15,772 [D] └:F:n:WD_2:wc.c:13	(at logger.py:129) 
2019-03-02 02:02:15,785 [D] ┌:F:n:WD_3:wc.c:14	(at logger.py:129) 
2019-03-02 02:02:15,785 [D] |:F:n:WD_3:wc.c:13	(at logger.py:129) 
2019-03-02 02:02:15,785 [D] └:F:n:WD_3:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:15,818 [D] -:C:c:WD_1:wc.c:13	(at logger.py:129) 
2019-03-02 02:02:15,829 [D] ┌:F:n:WD_2:wc.c:13	(at logger.py:129) 
2019-03-02 02:02:15,829 [D] └:F:n:WD_2:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:15,841 [D] ┌:F:n:WD_3:wc.c:13	(at logger.py:129) 
2019-03-02 02:02:15,841 [D] |:F:n:WD_3:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:15,841 [D] └:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:02:15,842 [D]  : : :pass:wc.c:12	(at logger.py:129) 
2019-03-02 02:02:15,842 [D]  : : :pass:wc.c:11	(at logger.py:129) 
2019-03-02 02:02:15,842 [D]  : : :pass:wc.c:10	(at logger.py:129) 
2019-03-02 02:02:15,853 [D] -:F:n:WD_1:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:15,866 [D] ┌:F:n:WD_2:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:15,866 [D] └:F:n:WD_2:wc.c:4	(at logger.py:129) 
2019-03-02 02:02:15,877 [D] ┌:F:n:WD_3:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:15,877 [D] |:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:02:15,878 [D] └:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:02:15,878 [D]  : : :pass:wc.c:8	(at logger.py:129) 
2019-03-02 02:02:15,878 [D]  : : :pass:wc.c:7	(at logger.py:129) 
2019-03-02 02:02:15,878 [D]  : : :pass:wc.c:6	(at logger.py:129) 
2019-03-02 02:02:15,878 [D]  : : :pass:wc.c:5	(at logger.py:129) 
2019-03-02 02:02:15,888 [D] -:F:n:WD_1:wc.c:4	(at logger.py:129) 
2019-03-02 02:02:15,900 [D] ┌:F:n:WD_2:wc.c:4	(at logger.py:129) 
2019-03-02 02:02:15,900 [D] └:F:n:WD_2:wc.c:3	(at logger.py:129) 
2019-03-02 02:02:15,900 [D] ┌:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:02:15,900 [D] └:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:02:15,913 [D] -:F:n:WD_1:wc.c:3	(at logger.py:129) 
2019-03-02 02:02:15,913 [D] -:F:n:WD_2:wc.c:3	(at logger.py:129) 
2019-03-02 02:02:15,913 [D] -:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:02:15,913 [D]  : : :pass:wc.c:2	(at logger.py:129) 
2019-03-02 02:02:15,913 [D]  : : :pass:wc.c:1	(at logger.py:129) 
2019-03-02 02:02:15,913 [D] comp_cached_cnt:4	(at logger.py:134) 
2019-03-02 02:02:15,914 [D] compile_cnt:22	(at logger.py:134) 
2019-03-02 02:02:15,914 [D] execute_cnt:0	(at logger.py:134) 
2019-03-02 02:02:15,914 [D] fail_del_cnt:2	(at logger.py:134) 
2019-03-02 02:02:15,914 [D] iter_idx:3	(at logger.py:134) 
2019-03-02 02:02:15,914 [D] reuse_cnt:3	(at logger.py:134) 
2019-03-02 02:02:15,914 [D] succ_del_cnt:1	(at logger.py:134) 
2019-03-02 02:02:15,914 [D] time:0.32785701751708984	(at logger.py:134) 
2019-03-02 02:02:15,914 [D] deletion:40	(at logger.py:136) 
