2019-03-02 02:01:51,907 [D] -:F:n:WD_1:wc.c:48	(at logger.py:129) 
2019-03-02 02:01:51,918 [D] ┌:F:n:WD_2:wc.c:48	(at logger.py:129) 
2019-03-02 02:01:51,918 [D] └:F:n:WD_2:wc.c:34	(at logger.py:129) 
2019-03-02 02:01:51,930 [D] ┌:F:n:WD_3:wc.c:48	(at logger.py:129) 
2019-03-02 02:01:51,930 [D] |:F:n:WD_3:wc.c:34	(at logger.py:129) 
2019-03-02 02:01:51,930 [D] └:F:n:WD_3:wc.c:16	(at logger.py:129) 
2019-03-02 02:01:51,930 [D]  : : :pass:wc.c:47	(at logger.py:129) 
2019-03-02 02:01:51,930 [D]  : : :pass:wc.c:46	(at logger.py:129) 
2019-03-02 02:01:51,930 [D]  : : :pass:wc.c:45	(at logger.py:129) 
2019-03-02 02:01:51,930 [D]  : : :pass:wc.c:44	(at logger.py:129) 
2019-03-02 02:01:51,930 [D]  : : :pass:wc.c:43	(at logger.py:129) 
2019-03-02 02:01:51,930 [D]  : : :pass:wc.c:42	(at logger.py:129) 
2019-03-02 02:01:51,930 [D]  : : :pass:wc.c:41	(at logger.py:129) 
2019-03-02 02:01:51,930 [D]  : : :pass:wc.c:40	(at logger.py:129) 
2019-03-02 02:01:51,931 [D]  : : :pass:wc.c:39	(at logger.py:129) 
2019-03-02 02:01:51,931 [D]  : : :pass:wc.c:38	(at logger.py:129) 
2019-03-02 02:01:51,931 [D]  : : :pass:wc.c:37	(at logger.py:129) 
2019-03-02 02:01:51,931 [D]  : : :pass:wc.c:36	(at logger.py:129) 
2019-03-02 02:01:51,931 [D]  : : :pass:wc.c:35	(at logger.py:129) 
2019-03-02 02:01:51,931 [D] -:F:n:WD_1:wc.c:34	(at logger.py:129) 
2019-03-02 02:01:51,963 [D] ┌:P:c:WD_2:wc.c:34	(at logger.py:129) 
2019-03-02 02:01:51,963 [D] └:P:c:WD_2:wc.c:16	(at logger.py:129) 
2019-03-02 02:01:51,963 [D]  : : :pass:wc.c:33	(at logger.py:129) 
2019-03-02 02:01:51,963 [D]  : : :pass:wc.c:32	(at logger.py:129) 
2019-03-02 02:01:51,963 [D]  : : :pass:wc.c:31	(at logger.py:129) 
2019-03-02 02:01:51,963 [D]  : : :pass:wc.c:30	(at logger.py:129) 
2019-03-02 02:01:51,963 [D]  : : :pass:wc.c:29	(at logger.py:129) 
2019-03-02 02:01:51,963 [D]  : : :pass:wc.c:28	(at logger.py:129) 
2019-03-02 02:01:51,963 [D]  : : :pass:wc.c:27	(at logger.py:129) 
2019-03-02 02:01:51,963 [D]  : : :pass:wc.c:26	(at logger.py:129) 
2019-03-02 02:01:51,963 [D]  : : :pass:wc.c:25	(at logger.py:129) 
2019-03-02 02:01:51,963 [D]  : : :pass:wc.c:24	(at logger.py:129) 
2019-03-02 02:01:51,963 [D]  : : :pass:wc.c:23	(at logger.py:129) 
2019-03-02 02:01:51,963 [D]  : : :pass:wc.c:22	(at logger.py:129) 
2019-03-02 02:01:51,963 [D]  : : :pass:wc.c:21	(at logger.py:129) 
2019-03-02 02:01:51,963 [D]  : : :pass:wc.c:20	(at logger.py:129) 
2019-03-02 02:01:51,963 [D]  : : :pass:wc.c:19	(at logger.py:129) 
2019-03-02 02:01:51,963 [D]  : : :pass:wc.c:18	(at logger.py:129) 
2019-03-02 02:01:51,964 [D]  : : :pass:wc.c:17	(at logger.py:129) 
2019-03-02 02:01:51,964 [D]  : : :pass:wc.c:16	(at logger.py:129) 
2019-03-02 02:01:51,964 [D]  : : :pass:wc.c:15	(at logger.py:129) 
2019-03-02 02:01:51,964 [D]  : : :pass:wc.c:14	(at logger.py:129) 
2019-03-02 02:01:51,964 [D]  : : :pass:wc.c:13	(at logger.py:129) 
2019-03-02 02:01:51,964 [D]  : : :pass:wc.c:12	(at logger.py:129) 
2019-03-02 02:01:51,995 [D] -:C:c:WD_1:wc.c:11	(at logger.py:129) 
2019-03-02 02:01:52,025 [D] ┌:C:c:WD_2:wc.c:11	(at logger.py:129) 
2019-03-02 02:01:52,025 [D] └:C:c:WD_2:wc.c:5	(at logger.py:129) 
2019-03-02 02:01:52,035 [D] ┌:F:n:WD_3:wc.c:11	(at logger.py:129) 
2019-03-02 02:01:52,035 [D] |:F:n:WD_3:wc.c:5	(at logger.py:129) 
2019-03-02 02:01:52,035 [D] └:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:52,035 [D]  : : :pass:wc.c:10	(at logger.py:129) 
2019-03-02 02:01:52,035 [D]  : : :pass:wc.c:9	(at logger.py:129) 
2019-03-02 02:01:52,035 [D]  : : :pass:wc.c:8	(at logger.py:129) 
2019-03-02 02:01:52,035 [D]  : : :pass:wc.c:7	(at logger.py:129) 
2019-03-02 02:01:52,035 [D]  : : :pass:wc.c:6	(at logger.py:129) 
2019-03-02 02:01:52,047 [D] -:F:n:WD_1:wc.c:5	(at logger.py:129) 
2019-03-02 02:01:52,057 [D] ┌:F:n:WD_2:wc.c:5	(at logger.py:129) 
2019-03-02 02:01:52,057 [D] └:F:n:WD_2:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:52,072 [D] ┌:F:n:WD_3:wc.c:5	(at logger.py:129) 
2019-03-02 02:01:52,072 [D] |:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:52,072 [D] └:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:52,084 [D] -:F:n:WD_1:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:52,097 [D] ┌:F:n:WD_2:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:52,097 [D] └:F:n:WD_2:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:52,097 [D] ┌:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:52,097 [D] └:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:52,171 [D] -:F:n:WD_1:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:52,171 [D] -:F:n:WD_2:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:52,171 [D] -:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:52,171 [D]  : : :pass:wc.c:2	(at logger.py:129) 
2019-03-02 02:01:52,171 [D]  : : :pass:wc.c:1	(at logger.py:129) 
2019-03-02 02:01:52,171 [D] comp_cached_cnt:4	(at logger.py:134) 
2019-03-02 02:01:52,171 [D] compile_cnt:13	(at logger.py:134) 
2019-03-02 02:01:52,172 [D] execute_cnt:0	(at logger.py:134) 
2019-03-02 02:01:52,172 [D] fail_del_cnt:2	(at logger.py:134) 
2019-03-02 02:01:52,172 [D] iter_idx:4	(at logger.py:134) 
2019-03-02 02:01:52,172 [D] reuse_cnt:3	(at logger.py:134) 
2019-03-02 02:01:52,172 [D] succ_del_cnt:1	(at logger.py:134) 
