2019-03-02 02:01:51,621 [D] -:F:n:WD_1:wc.c:48	(at logger.py:129) 
2019-03-02 02:01:51,631 [D] ┌:F:n:WD_2:wc.c:48	(at logger.py:129) 
2019-03-02 02:01:51,632 [D] └:F:n:WD_2:wc.c:34	(at logger.py:129) 
2019-03-02 02:01:51,646 [D] ┌:F:n:WD_3:wc.c:48	(at logger.py:129) 
2019-03-02 02:01:51,646 [D] |:F:n:WD_3:wc.c:34	(at logger.py:129) 
2019-03-02 02:01:51,646 [D] └:F:n:WD_3:wc.c:33	(at logger.py:129) 
2019-03-02 02:01:51,646 [D]  : : :pass:wc.c:47	(at logger.py:129) 
2019-03-02 02:01:51,646 [D]  : : :pass:wc.c:46	(at logger.py:129) 
2019-03-02 02:01:51,646 [D]  : : :pass:wc.c:45	(at logger.py:129) 
2019-03-02 02:01:51,646 [D]  : : :pass:wc.c:44	(at logger.py:129) 
2019-03-02 02:01:51,646 [D]  : : :pass:wc.c:43	(at logger.py:129) 
2019-03-02 02:01:51,646 [D]  : : :pass:wc.c:42	(at logger.py:129) 
2019-03-02 02:01:51,646 [D]  : : :pass:wc.c:41	(at logger.py:129) 
2019-03-02 02:01:51,646 [D]  : : :pass:wc.c:40	(at logger.py:129) 
2019-03-02 02:01:51,646 [D]  : : :pass:wc.c:39	(at logger.py:129) 
2019-03-02 02:01:51,646 [D]  : : :pass:wc.c:38	(at logger.py:129) 
2019-03-02 02:01:51,646 [D]  : : :pass:wc.c:37	(at logger.py:129) 
2019-03-02 02:01:51,646 [D]  : : :pass:wc.c:36	(at logger.py:129) 
2019-03-02 02:01:51,647 [D]  : : :pass:wc.c:35	(at logger.py:129) 
2019-03-02 02:01:51,658 [D] -:F:n:WD_1:wc.c:34	(at logger.py:129) 
2019-03-02 02:01:51,669 [D] ┌:F:n:WD_2:wc.c:34	(at logger.py:129) 
2019-03-02 02:01:51,669 [D] └:F:n:WD_2:wc.c:33	(at logger.py:129) 
2019-03-02 02:01:51,682 [D] ┌:F:n:WD_3:wc.c:34	(at logger.py:129) 
2019-03-02 02:01:51,682 [D] |:F:n:WD_3:wc.c:33	(at logger.py:129) 
2019-03-02 02:01:51,682 [D] └:F:n:WD_3:wc.c:19	(at logger.py:129) 
2019-03-02 02:01:51,682 [D] -:F:n:WD_1:wc.c:33	(at logger.py:129) 
2019-03-02 02:01:51,715 [D] ┌:P:c:WD_2:wc.c:33	(at logger.py:129) 
