2019-03-02 02:01:49,123 [D] -:F:n:WD_1:wc.c:48	(at logger.py:129) 
2019-03-02 02:01:49,136 [D] ┌:F:n:WD_2:wc.c:48	(at logger.py:129) 
2019-03-02 02:01:49,137 [D] └:F:n:WD_2:wc.c:47	(at logger.py:129) 
2019-03-02 02:01:49,149 [D] ┌:F:n:WD_3:wc.c:48	(at logger.py:129) 
2019-03-02 02:01:49,149 [D] |:F:n:WD_3:wc.c:47	(at logger.py:129) 
2019-03-02 02:01:49,150 [D] └:F:n:WD_3:wc.c:46	(at logger.py:129) 
2019-03-02 02:01:49,163 [D] -:F:n:WD_1:wc.c:47	(at logger.py:129) 
2019-03-02 02:01:49,179 [D] ┌:F:n:WD_2:wc.c:47	(at logger.py:129) 
2019-03-02 02:01:49,179 [D] └:F:n:WD_2:wc.c:46	(at logger.py:129) 
2019-03-02 02:01:49,194 [D] ┌:F:n:WD_3:wc.c:47	(at logger.py:129) 
2019-03-02 02:01:49,194 [D] |:F:n:WD_3:wc.c:46	(at logger.py:129) 
2019-03-02 02:01:49,194 [D] └:F:n:WD_3:wc.c:45	(at logger.py:129) 
2019-03-02 02:01:49,305 [D] -:P:n:WD_1:wc.c:46	(at logger.py:129) 
2019-03-02 02:01:49,323 [D] -:F:n:WD_1:wc.c:45	(at logger.py:129) 
2019-03-02 02:01:49,340 [D] ┌:F:n:WD_2:wc.c:45	(at logger.py:129) 
2019-03-02 02:01:49,340 [D] └:F:n:WD_2:wc.c:44	(at logger.py:129) 
2019-03-02 02:01:49,372 [D] ┌:P:c:WD_3:wc.c:45	(at logger.py:129) 
2019-03-02 02:01:49,373 [D] |:P:c:WD_3:wc.c:44	(at logger.py:129) 
2019-03-02 02:01:49,373 [D] └:P:c:WD_3:wc.c:43	(at logger.py:129) 
2019-03-02 02:01:49,373 [D]  : : :pass:wc.c:44	(at logger.py:129) 
2019-03-02 02:01:49,373 [D]  : : :pass:wc.c:43	(at logger.py:129) 
2019-03-02 02:01:49,415 [D] -:P:n:WD_1:wc.c:42	(at logger.py:129) 
2019-03-02 02:01:49,429 [D] -:F:n:WD_1:wc.c:41	(at logger.py:129) 
2019-03-02 02:01:49,442 [D] ┌:F:n:WD_2:wc.c:41	(at logger.py:129) 
2019-03-02 02:01:49,443 [D] └:F:n:WD_2:wc.c:40	(at logger.py:129) 
2019-03-02 02:01:49,455 [D] ┌:F:n:WD_3:wc.c:41	(at logger.py:129) 
2019-03-02 02:01:49,456 [D] |:F:n:WD_3:wc.c:40	(at logger.py:129) 
