2019-03-02 02:01:52,281 [D] total_lines:48	(at logger.py:74) 
2019-03-02 02:01:52,281 [D] iteration_cnt:5	(at logger.py:75) 
2019-03-02 02:01:52,281 [D] comp_cached_cnt:24	(at logger.py:79) 
2019-03-02 02:01:52,281 [D] compile_cnt:145	(at logger.py:79) 
2019-03-02 02:01:52,281 [D] execute_cnt:17	(at logger.py:79) 
2019-03-02 02:01:52,281 [D] fail_del_cnt:11	(at logger.py:79) 
2019-03-02 02:01:52,281 [D] reuse_cnt:24	(at logger.py:79) 
2019-03-02 02:01:52,281 [D] succ_del_cnt:30	(at logger.py:79) 
2019-03-02 02:01:52,281 [D] time:3.1714837551116943	(at logger.py:80) 
2019-03-02 02:01:52,281 [D] deletion:43	(at logger.py:82) 
