2019-03-02 02:01:55,467 [D] -:F:n:WD_1:wc.c:48	(at logger.py:129) 
2019-03-02 02:01:55,479 [D] ┌:F:n:WD_2:wc.c:48	(at logger.py:129) 
2019-03-02 02:01:55,479 [D] └:F:n:WD_2:wc.c:34	(at logger.py:129) 
2019-03-02 02:01:55,492 [D] ┌:F:n:WD_3:wc.c:48	(at logger.py:129) 
2019-03-02 02:01:55,492 [D] |:F:n:WD_3:wc.c:34	(at logger.py:129) 
2019-03-02 02:01:55,492 [D] └:F:n:WD_3:wc.c:33	(at logger.py:129) 
2019-03-02 02:01:55,492 [D]  : : :pass:wc.c:47	(at logger.py:129) 
2019-03-02 02:01:55,493 [D]  : : :pass:wc.c:46	(at logger.py:129) 
2019-03-02 02:01:55,493 [D]  : : :pass:wc.c:45	(at logger.py:129) 
2019-03-02 02:01:55,493 [D]  : : :pass:wc.c:44	(at logger.py:129) 
2019-03-02 02:01:55,493 [D]  : : :pass:wc.c:43	(at logger.py:129) 
2019-03-02 02:01:55,493 [D]  : : :pass:wc.c:42	(at logger.py:129) 
2019-03-02 02:01:55,493 [D]  : : :pass:wc.c:41	(at logger.py:129) 
2019-03-02 02:01:55,493 [D]  : : :pass:wc.c:40	(at logger.py:129) 
2019-03-02 02:01:55,493 [D]  : : :pass:wc.c:39	(at logger.py:129) 
2019-03-02 02:01:55,493 [D]  : : :pass:wc.c:38	(at logger.py:129) 
2019-03-02 02:01:55,493 [D]  : : :pass:wc.c:37	(at logger.py:129) 
2019-03-02 02:01:55,493 [D]  : : :pass:wc.c:36	(at logger.py:129) 
2019-03-02 02:01:55,493 [D]  : : :pass:wc.c:35	(at logger.py:129) 
2019-03-02 02:01:55,503 [D] -:F:n:WD_1:wc.c:34	(at logger.py:129) 
2019-03-02 02:01:55,516 [D] ┌:F:n:WD_2:wc.c:34	(at logger.py:129) 
2019-03-02 02:01:55,516 [D] └:F:n:WD_2:wc.c:33	(at logger.py:129) 
2019-03-02 02:01:55,529 [D] ┌:F:n:WD_3:wc.c:34	(at logger.py:129) 
2019-03-02 02:01:55,529 [D] |:F:n:WD_3:wc.c:33	(at logger.py:129) 
2019-03-02 02:01:55,529 [D] └:F:n:WD_3:wc.c:19	(at logger.py:129) 
2019-03-02 02:01:55,529 [D] -:F:n:WD_1:wc.c:33	(at logger.py:129) 
2019-03-02 02:01:55,561 [D] ┌:P:c:WD_2:wc.c:33	(at logger.py:129) 
2019-03-02 02:01:55,561 [D] └:P:c:WD_2:wc.c:19	(at logger.py:129) 
2019-03-02 02:01:55,561 [D]  : : :pass:wc.c:32	(at logger.py:129) 
2019-03-02 02:01:55,561 [D]  : : :pass:wc.c:31	(at logger.py:129) 
2019-03-02 02:01:55,561 [D]  : : :pass:wc.c:30	(at logger.py:129) 
2019-03-02 02:01:55,561 [D]  : : :pass:wc.c:29	(at logger.py:129) 
2019-03-02 02:01:55,561 [D]  : : :pass:wc.c:28	(at logger.py:129) 
2019-03-02 02:01:55,561 [D]  : : :pass:wc.c:27	(at logger.py:129) 
2019-03-02 02:01:55,561 [D]  : : :pass:wc.c:26	(at logger.py:129) 
2019-03-02 02:01:55,561 [D]  : : :pass:wc.c:25	(at logger.py:129) 
2019-03-02 02:01:55,561 [D]  : : :pass:wc.c:24	(at logger.py:129) 
2019-03-02 02:01:55,561 [D]  : : :pass:wc.c:23	(at logger.py:129) 
2019-03-02 02:01:55,562 [D]  : : :pass:wc.c:22	(at logger.py:129) 
2019-03-02 02:01:55,562 [D]  : : :pass:wc.c:21	(at logger.py:129) 
2019-03-02 02:01:55,562 [D]  : : :pass:wc.c:20	(at logger.py:129) 
2019-03-02 02:01:55,562 [D]  : : :pass:wc.c:19	(at logger.py:129) 
2019-03-02 02:01:55,562 [D]  : : :pass:wc.c:18	(at logger.py:129) 
2019-03-02 02:01:55,562 [D]  : : :pass:wc.c:17	(at logger.py:129) 
2019-03-02 02:01:55,574 [D] -:F:n:WD_1:wc.c:16	(at logger.py:129) 
2019-03-02 02:01:55,584 [D] ┌:F:n:WD_2:wc.c:16	(at logger.py:129) 
2019-03-02 02:01:55,585 [D] └:F:n:WD_2:wc.c:12	(at logger.py:129) 
2019-03-02 02:01:55,597 [D] ┌:F:n:WD_3:wc.c:16	(at logger.py:129) 
2019-03-02 02:01:55,597 [D] |:F:n:WD_3:wc.c:12	(at logger.py:129) 
2019-03-02 02:01:55,597 [D] └:F:n:WD_3:wc.c:7	(at logger.py:129) 
2019-03-02 02:01:55,597 [D]  : : :pass:wc.c:15	(at logger.py:129) 
2019-03-02 02:01:55,597 [D]  : : :pass:wc.c:14	(at logger.py:129) 
2019-03-02 02:01:55,597 [D]  : : :pass:wc.c:13	(at logger.py:129) 
2019-03-02 02:01:55,628 [D] -:C:c:WD_1:wc.c:12	(at logger.py:129) 
2019-03-02 02:01:55,658 [D] ┌:C:c:WD_2:wc.c:12	(at logger.py:129) 
2019-03-02 02:01:55,658 [D] └:C:c:WD_2:wc.c:7	(at logger.py:129) 
2019-03-02 02:01:55,668 [D] ┌:F:n:WD_3:wc.c:12	(at logger.py:129) 
2019-03-02 02:01:55,668 [D] |:F:n:WD_3:wc.c:7	(at logger.py:129) 
2019-03-02 02:01:55,668 [D] └:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:55,668 [D]  : : :pass:wc.c:11	(at logger.py:129) 
2019-03-02 02:01:55,668 [D]  : : :pass:wc.c:10	(at logger.py:129) 
2019-03-02 02:01:55,668 [D]  : : :pass:wc.c:9	(at logger.py:129) 
2019-03-02 02:01:55,668 [D]  : : :pass:wc.c:8	(at logger.py:129) 
2019-03-02 02:01:55,679 [D] -:F:n:WD_1:wc.c:7	(at logger.py:129) 
2019-03-02 02:01:55,690 [D] ┌:F:n:WD_2:wc.c:7	(at logger.py:129) 
2019-03-02 02:01:55,690 [D] └:F:n:WD_2:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:55,701 [D] ┌:F:n:WD_3:wc.c:7	(at logger.py:129) 
2019-03-02 02:01:55,701 [D] |:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:55,701 [D] └:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:55,701 [D]  : : :pass:wc.c:6	(at logger.py:129) 
2019-03-02 02:01:55,701 [D]  : : :pass:wc.c:5	(at logger.py:129) 
2019-03-02 02:01:55,713 [D] -:F:n:WD_1:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:55,725 [D] ┌:F:n:WD_2:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:55,725 [D] └:F:n:WD_2:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:55,726 [D] ┌:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:01:55,726 [D] └:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:55,737 [D] -:F:n:WD_1:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:55,737 [D] -:F:n:WD_2:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:55,737 [D] -:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:01:55,738 [D]  : : :pass:wc.c:2	(at logger.py:129) 
2019-03-02 02:01:55,738 [D]  : : :pass:wc.c:1	(at logger.py:129) 
