2019-03-02 01:40:29,835 [I] Initial factor queue size: 29	(at doe_manager.py:29) 
2019-03-02 01:40:32,333 [I] Curr factor: [0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1]	(at main.py:61) 
2019-03-02 01:40:32,711 [I] Response: [True, True, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:32,711 [I] Iter idx: 15, Qsize: 13	(at main.py:59) 
2019-03-02 01:40:32,712 [I] Curr factor: [0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:33,279 [I] Response: [True, True, True, False, True, True, False, False, True, False, False, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:33,280 [I] Iter idx: 16, Qsize: 12	(at main.py:59) 
2019-03-02 01:40:33,280 [I] Curr factor: [0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]	(at main.py:61) 
2019-03-02 01:40:33,478 [I] Response: [True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:33,478 [I] Iter idx: 17, Qsize: 11	(at main.py:59) 
2019-03-02 01:40:33,478 [I] Curr factor: [0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	(at main.py:61) 
2019-03-02 01:40:33,629 [I] Response: [True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:33,630 [I] Iter idx: 18, Qsize: 10	(at main.py:59) 
2019-03-02 01:40:33,630 [I] Curr factor: [0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]	(at main.py:61) 
2019-03-02 01:40:33,789 [I] Response: [True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:33,790 [I] Iter idx: 19, Qsize: 9	(at main.py:59) 
2019-03-02 01:40:33,790 [I] Curr factor: [1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]	(at main.py:61) 
2019-03-02 01:40:33,961 [I] Response: [True, True, False, False, False, True, False, False, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:33,962 [I] Iter idx: 20, Qsize: 8	(at main.py:59) 
2019-03-02 01:40:33,962 [I] Curr factor: [0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1]	(at main.py:61) 
2019-03-02 01:40:34,174 [I] Response: [True, True, True, True, False, True, True, True, True, False, False, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:34,174 [I] Iter idx: 21, Qsize: 7	(at main.py:59) 
2019-03-02 01:40:34,175 [I] Curr factor: [0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]	(at main.py:61) 
2019-03-02 01:40:34,307 [I] Response: [True, True, True, True, False, True, True, True, True, False, False, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:34,308 [I] Iter idx: 22, Qsize: 6	(at main.py:59) 
2019-03-02 01:40:34,308 [I] Curr factor: [0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	(at main.py:61) 
2019-03-02 01:40:34,469 [I] Response: [True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:34,469 [I] Iter idx: 23, Qsize: 5	(at main.py:59) 
2019-03-02 01:40:34,469 [I] Curr factor: [0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0]	(at main.py:61) 
2019-03-02 01:40:34,653 [I] Response: [True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:34,654 [I] Iter idx: 24, Qsize: 4	(at main.py:59) 
2019-03-02 01:40:34,654 [I] Curr factor: [1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 01:40:34,948 [I] Response: [True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:34,948 [I] Iter idx: 25, Qsize: 3	(at main.py:59) 
2019-03-02 01:40:34,948 [I] Curr factor: [1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	(at main.py:61) 
2019-03-02 01:40:35,128 [I] Response: [True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:35,128 [I] Iter idx: 26, Qsize: 2	(at main.py:59) 
2019-03-02 01:40:35,129 [I] Curr factor: [1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]	(at main.py:61) 
2019-03-02 01:40:35,423 [I] Response: [True, True, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:35,424 [I] Iter idx: 27, Qsize: 1	(at main.py:59) 
2019-03-02 01:40:35,424 [I] Curr factor: [0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 01:40:35,701 [I] Response: [True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:35,702 [I] Iter idx: 28, Qsize: 0	(at main.py:59) 
2019-03-02 01:40:35,702 [I] Curr factor: [1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]	(at main.py:61) 
2019-03-02 01:40:36,062 [I] Response: [True, True, False, True, False, True, False, False, True, False, False, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:36,062 [I] End iteration. Save model.	(at main.py:70) 
2019-03-02 01:40:36,101 [I] Model saved. End program.	(at main.py:72) 
