2019-03-02 02:02:45,776 [D] |:C:n:WD_3:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:45,776 [D] └:C:n:WD_3:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:45,823 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:45,824 [D] -:C:n:WD_1:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:45,838 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:45,838 [D] ┌:F:n:WD_2:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:45,838 [D] └:F:n:WD_2:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:45,852 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:45,852 [D] ┌:F:n:WD_3:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:45,852 [D] |:F:n:WD_3:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:45,852 [D] └:F:n:WD_3:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:45,866 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:45,867 [D] -:F:n:WD_1:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:45,880 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:45,880 [D] ┌:F:n:WD_2:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:45,880 [D] └:F:n:WD_2:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:45,894 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:45,894 [D] ┌:F:n:WD_3:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:45,894 [D] |:F:n:WD_3:wc.c:40	(at logger.py:129) 
