2019-03-02 02:05:16,361 [I] 	(at main.py:29) 
2019-03-02 02:05:16,362 [I] ===== START - RUN ==============================================	(at main.py:32) 
2019-03-02 02:05:16,362 [I] Load config file.	(at main.py:56) 
2019-03-02 02:05:16,363 [I] Initialize workspace.	(at main.py:64) 
2019-03-02 02:05:16,363 [I] Working directory path: /home/bohrok/Documents/DM/output/orbs/mug/7/work	(at workspace.py:41) 
2019-03-02 02:05:16,365 [I] No PRE stage.	(at main.py:73) 
2019-03-02 02:05:16,365 [I] Construct SliceSpace.	(at main.py:76) 
2019-03-02 02:05:16,365 [I] Compile the system.	(at slicespace.py:148) 
2019-03-02 02:05:16,414 [I] Execute the system.	(at slicespace.py:160) 
2019-03-02 02:05:16,436 [I] Compile the system again (sanity check).	(at slicespace.py:174) 
2019-03-02 02:05:16,473 [I] Execute the system again (sanity check).	(at slicespace.py:188) 
2019-03-02 02:05:16,484 [I] Construct deletion operators.	(at main.py:80) 
2019-03-02 02:05:16,484 [I] Run ORBS stage.	(at main.py:85) 
2019-03-02 02:05:16,484 [I] ORBS starts...	(at orbs.py:53) 
2019-03-02 02:05:20,436 [I] Iteration 1 finished	(at orbs.py:87) 
2019-03-02 02:05:22,165 [I] Iteration 2 finished	(at orbs.py:87) 
2019-03-02 02:05:23,734 [I] Iteration 3 finished	(at orbs.py:87) 
2019-03-02 02:05:23,945 [I] Iteration 4 finished	(at orbs.py:87) 
2019-03-02 02:05:23,945 [I] ORBS fin.	(at orbs.py:91) 
2019-03-02 02:05:23,946 [I] ===== END - RUN ==============================================	(at main.py:95) 
2019-03-02 02:05:23,946 [I] 	(at main.py:96) 
