2019-03-02 02:02:19,136 [D] -:F:n:WD_1:wc.c:48	(at logger.py:129) 
2019-03-02 02:02:19,148 [D] ┌:F:n:WD_2:wc.c:48	(at logger.py:129) 
2019-03-02 02:02:19,148 [D] └:F:n:WD_2:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:19,158 [D] ┌:F:n:WD_3:wc.c:48	(at logger.py:129) 
2019-03-02 02:02:19,158 [D] |:F:n:WD_3:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:19,158 [D] └:F:n:WD_3:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:19,171 [D] -:F:n:WD_1:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:19,202 [D] ┌:P:c:WD_2:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:19,202 [D] └:P:c:WD_2:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:19,202 [D]  : : :pass:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:19,202 [D]  : : :pass:wc.c:45	(at logger.py:129) 
2019-03-02 02:02:19,202 [D]  : : :pass:wc.c:44	(at logger.py:129) 
2019-03-02 02:02:19,203 [D]  : : :pass:wc.c:43	(at logger.py:129) 
2019-03-02 02:02:19,203 [D]  : : :pass:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:19,203 [D]  : : :pass:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:19,203 [D]  : : :pass:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:19,203 [D]  : : :pass:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:19,203 [D]  : : :pass:wc.c:38	(at logger.py:129) 
2019-03-02 02:02:19,214 [D] -:F:n:WD_1:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:19,223 [D] ┌:F:n:WD_2:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:19,223 [D] └:F:n:WD_2:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:19,270 [D] ┌:P:n:WD_3:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:19,270 [D] |:P:n:WD_3:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:19,270 [D] └:P:n:WD_3:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:19,270 [D]  : : :pass:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:19,270 [D]  : : :pass:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:19,282 [D] -:F:n:WD_1:wc.c:34	(at logger.py:129) 
2019-03-02 02:02:19,293 [D] ┌:F:n:WD_2:wc.c:34	(at logger.py:129) 
2019-03-02 02:02:19,293 [D] └:F:n:WD_2:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:19,305 [D] ┌:F:n:WD_3:wc.c:34	(at logger.py:129) 
2019-03-02 02:02:19,305 [D] |:F:n:WD_3:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:19,305 [D] └:F:n:WD_3:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:19,316 [D] -:F:n:WD_1:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:19,327 [D] ┌:F:n:WD_2:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:19,327 [D] └:F:n:WD_2:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:19,338 [D] ┌:F:n:WD_3:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:19,338 [D] |:F:n:WD_3:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:19,338 [D] └:F:n:WD_3:wc.c:25	(at logger.py:129) 
2019-03-02 02:02:19,338 [D]  : : :pass:wc.c:32	(at logger.py:129) 
2019-03-02 02:02:19,338 [D]  : : :pass:wc.c:31	(at logger.py:129) 
2019-03-02 02:02:19,338 [D]  : : :pass:wc.c:30	(at logger.py:129) 
2019-03-02 02:02:19,338 [D]  : : :pass:wc.c:29	(at logger.py:129) 
2019-03-02 02:02:19,351 [D] -:F:n:WD_1:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:19,382 [D] ┌:P:c:WD_2:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:19,382 [D] └:P:c:WD_2:wc.c:25	(at logger.py:129) 
2019-03-02 02:02:19,383 [D]  : : :pass:wc.c:27	(at logger.py:129) 
2019-03-02 02:02:19,383 [D]  : : :pass:wc.c:26	(at logger.py:129) 
2019-03-02 02:02:19,383 [D]  : : :pass:wc.c:25	(at logger.py:129) 
2019-03-02 02:02:19,383 [D]  : : :pass:wc.c:24	(at logger.py:129) 
2019-03-02 02:02:19,383 [D]  : : :pass:wc.c:23	(at logger.py:129) 
2019-03-02 02:02:19,383 [D]  : : :pass:wc.c:22	(at logger.py:129) 
2019-03-02 02:02:19,383 [D]  : : :pass:wc.c:21	(at logger.py:129) 
2019-03-02 02:02:19,425 [D] -:C:n:WD_1:wc.c:20	(at logger.py:129) 
2019-03-02 02:02:19,472 [D] ┌:C:n:WD_2:wc.c:20	(at logger.py:129) 
2019-03-02 02:02:19,472 [D] └:C:n:WD_2:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:19,485 [D] ┌:F:n:WD_3:wc.c:20	(at logger.py:129) 
2019-03-02 02:02:19,485 [D] |:F:n:WD_3:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:19,485 [D] └:F:n:WD_3:wc.c:17	(at logger.py:129) 
2019-03-02 02:02:19,530 [D] -:C:n:WD_1:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:19,540 [D] ┌:F:n:WD_2:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:19,540 [D] └:F:n:WD_2:wc.c:17	(at logger.py:129) 
2019-03-02 02:02:19,552 [D] ┌:F:n:WD_3:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:19,553 [D] |:F:n:WD_3:wc.c:17	(at logger.py:129) 
2019-03-02 02:02:19,553 [D] └:F:n:WD_3:wc.c:16	(at logger.py:129) 
2019-03-02 02:02:19,553 [D]  : : :pass:wc.c:18	(at logger.py:129) 
2019-03-02 02:02:19,565 [D] -:F:n:WD_1:wc.c:17	(at logger.py:129) 
2019-03-02 02:02:19,575 [D] ┌:F:n:WD_2:wc.c:17	(at logger.py:129) 
2019-03-02 02:02:19,575 [D] └:F:n:WD_2:wc.c:16	(at logger.py:129) 
2019-03-02 02:02:19,587 [D] ┌:F:n:WD_3:wc.c:17	(at logger.py:129) 
2019-03-02 02:02:19,587 [D] |:F:n:WD_3:wc.c:16	(at logger.py:129) 
2019-03-02 02:02:19,587 [D] └:F:n:WD_3:wc.c:15	(at logger.py:129) 
2019-03-02 02:02:19,633 [D] -:C:n:WD_1:wc.c:16	(at logger.py:129) 
2019-03-02 02:02:19,678 [D] ┌:C:n:WD_2:wc.c:16	(at logger.py:129) 
2019-03-02 02:02:19,678 [D] └:C:n:WD_2:wc.c:15	(at logger.py:129) 
2019-03-02 02:02:19,690 [D] ┌:F:n:WD_3:wc.c:16	(at logger.py:129) 
2019-03-02 02:02:19,690 [D] |:F:n:WD_3:wc.c:15	(at logger.py:129) 
2019-03-02 02:02:19,690 [D] └:F:n:WD_3:wc.c:14	(at logger.py:129) 
2019-03-02 02:02:19,740 [D] -:P:n:WD_1:wc.c:15	(at logger.py:129) 
2019-03-02 02:02:19,753 [D] -:F:n:WD_1:wc.c:14	(at logger.py:129) 
2019-03-02 02:02:19,764 [D] ┌:F:n:WD_2:wc.c:14	(at logger.py:129) 
2019-03-02 02:02:19,764 [D] └:F:n:WD_2:wc.c:13	(at logger.py:129) 
2019-03-02 02:02:19,775 [D] ┌:F:n:WD_3:wc.c:14	(at logger.py:129) 
2019-03-02 02:02:19,775 [D] |:F:n:WD_3:wc.c:13	(at logger.py:129) 
2019-03-02 02:02:19,775 [D] └:F:n:WD_3:wc.c:12	(at logger.py:129) 
2019-03-02 02:02:19,823 [D] -:C:n:WD_1:wc.c:13	(at logger.py:129) 
2019-03-02 02:02:19,869 [D] ┌:C:n:WD_2:wc.c:13	(at logger.py:129) 
2019-03-02 02:02:19,869 [D] └:C:n:WD_2:wc.c:12	(at logger.py:129) 
2019-03-02 02:02:19,911 [D] ┌:C:n:WD_3:wc.c:13	(at logger.py:129) 
2019-03-02 02:02:19,911 [D] |:C:n:WD_3:wc.c:12	(at logger.py:129) 
2019-03-02 02:02:19,912 [D] └:C:n:WD_3:wc.c:11	(at logger.py:129) 
2019-03-02 02:02:19,957 [D] -:C:n:WD_1:wc.c:12	(at logger.py:129) 
2019-03-02 02:02:20,003 [D] ┌:C:n:WD_2:wc.c:12	(at logger.py:129) 
2019-03-02 02:02:20,003 [D] └:C:n:WD_2:wc.c:11	(at logger.py:129) 
2019-03-02 02:02:20,014 [D] ┌:F:n:WD_3:wc.c:12	(at logger.py:129) 
2019-03-02 02:02:20,015 [D] |:F:n:WD_3:wc.c:11	(at logger.py:129) 
2019-03-02 02:02:20,015 [D] └:F:n:WD_3:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:20,045 [D] -:C:c:WD_1:wc.c:11	(at logger.py:129) 
2019-03-02 02:02:20,056 [D] ┌:F:n:WD_2:wc.c:11	(at logger.py:129) 
2019-03-02 02:02:20,056 [D] └:F:n:WD_2:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:20,070 [D] ┌:F:n:WD_3:wc.c:11	(at logger.py:129) 
2019-03-02 02:02:20,071 [D] |:F:n:WD_3:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:20,071 [D] └:F:n:WD_3:wc.c:8	(at logger.py:129) 
2019-03-02 02:02:20,071 [D]  : : :pass:wc.c:10	(at logger.py:129) 
2019-03-02 02:02:20,083 [D] -:F:n:WD_1:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:20,094 [D] ┌:F:n:WD_2:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:20,094 [D] └:F:n:WD_2:wc.c:8	(at logger.py:129) 
2019-03-02 02:02:20,106 [D] ┌:F:n:WD_3:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:20,106 [D] |:F:n:WD_3:wc.c:8	(at logger.py:129) 
