2019-02-12 21:32:29,734 [I] 	(at main.py:29) 
2019-02-12 21:32:29,734 [I] ===== START - RUN ==============================================	(at main.py:32) 
2019-02-12 21:32:29,734 [D] Title: RUN, Job key: RUN_2019-02-12_21:32:29	(at main.py:40) 
2019-02-12 21:32:29,734 [I] Load config file.	(at main.py:56) 
2019-02-12 21:32:29,735 [D] Loading config from ['/home/bohrok/Documents/DM/output/orbs/mbe/13/config/config.ini']	(at config.py:16) 
2019-02-12 21:32:29,735 [D] Load config successfully!	(at config.py:19) 
2019-02-12 21:32:29,735 [D] Initialize directory: .	(at workspace.py:10) 
2019-02-12 21:32:29,735 [I] Initialize workspace.	(at main.py:64) 
2019-02-12 21:32:29,735 [I] Working directory path: /home/bohrok/Documents/DM/output/orbs/mbe/13/work	(at workspace.py:41) 
2019-02-12 21:32:29,738 [D] Record the config on workspace.	(at workspace.py:62) 
2019-02-12 21:32:29,738 [I] No PRE stage.	(at main.py:73) 
2019-02-12 21:32:29,738 [I] Construct SliceSpace.	(at main.py:76) 
2019-02-12 21:32:29,738 [I] Compile the system.	(at slicespace.py:148) 
2019-02-12 21:32:29,789 [I] Execute the system.	(at slicespace.py:160) 
2019-02-12 21:32:29,801 [I] Compile the system again (sanity check).	(at slicespace.py:174) 
2019-02-12 21:32:29,851 [I] Execute the system again (sanity check).	(at slicespace.py:188) 
2019-02-12 21:32:29,862 [I] Construct deletion operators.	(at main.py:80) 
2019-02-12 21:32:29,863 [I] Run ORBS stage.	(at main.py:85) 
2019-02-12 21:32:29,863 [I] ORBS starts...	(at orbs.py:53) 
2019-02-12 21:32:29,883 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/13/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:32:29,884 [D] -:F:n:WD_1:mbe.c:79	(at logger.py:129) 
2019-02-12 21:32:29,903 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/13/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:32:29,903 [D] ┌:F:n:WD_2:mbe.c:79	(at logger.py:129) 
2019-02-12 21:32:29,903 [D] └:F:n:WD_2:mbe.c:78	(at logger.py:129) 
2019-02-12 21:32:29,961 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/13/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:32:29,961 [D] ┌:F:n:WD_3:mbe.c:79	(at logger.py:129) 
2019-02-12 21:32:29,961 [D] |:F:n:WD_3:mbe.c:78	(at logger.py:129) 
2019-02-12 21:32:29,961 [D] └:F:n:WD_3:mbe.c:77	(at logger.py:129) 
2019-02-12 21:32:30,008 [D] -:P:n:WD_1:mbe.c:78	(at logger.py:129) 
2019-02-12 21:32:30,027 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/13/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:32:30,027 [D] -:F:n:WD_1:mbe.c:77	(at logger.py:129) 
2019-02-12 21:32:30,042 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/13/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:32:30,042 [D] ┌:F:n:WD_2:mbe.c:77	(at logger.py:129) 
2019-02-12 21:32:30,042 [D] └:F:n:WD_2:mbe.c:76	(at logger.py:129) 
2019-02-12 21:32:30,057 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/13/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:32:30,057 [D] ┌:F:n:WD_3:mbe.c:77	(at logger.py:129) 
2019-02-12 21:32:30,057 [D] |:F:n:WD_3:mbe.c:76	(at logger.py:129) 
2019-02-12 21:32:30,057 [D] └:F:n:WD_3:mbe.c:75	(at logger.py:129) 
2019-02-12 21:32:30,073 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/13/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:32:30,073 [D] -:F:n:WD_1:mbe.c:76	(at logger.py:129) 
2019-02-12 21:32:30,089 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/13/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:32:30,089 [D] ┌:F:n:WD_2:mbe.c:76	(at logger.py:129) 
2019-02-12 21:32:30,090 [D] └:F:n:WD_2:mbe.c:75	(at logger.py:129) 
2019-02-12 21:32:30,106 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/13/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:32:30,106 [D] ┌:F:n:WD_3:mbe.c:76	(at logger.py:129) 
2019-02-12 21:32:30,106 [D] |:F:n:WD_3:mbe.c:75	(at logger.py:129) 
2019-02-12 21:32:30,107 [D] └:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 21:32:30,149 [D] -:P:c:WD_1:mbe.c:75	(at logger.py:129) 
2019-02-12 21:32:30,167 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/13/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:32:30,167 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 21:32:30,187 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/13/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:32:30,187 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 21:32:30,187 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:32:30,207 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/13/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:32:30,207 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 21:32:30,207 [D] |:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:32:30,207 [D] └:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:32:31,259 [D] -:C:n:WD_1:mbe.c:73	(at logger.py:129) 
