2019-03-02 02:05:50,437 [D] -:F:n:WD_1:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:50,452 [D] ┌:F:n:WD_2:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:50,452 [D] └:F:n:WD_2:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:50,468 [D] ┌:F:n:WD_3:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:50,468 [D] |:F:n:WD_3:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:50,468 [D] └:F:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:50,518 [D] -:P:n:WD_1:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:50,534 [D] -:F:n:WD_1:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:50,551 [D] ┌:F:n:WD_2:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:50,551 [D] └:F:n:WD_2:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:50,589 [D] ┌:F:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:50,589 [D] |:F:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:50,589 [D] └:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:50,605 [D] -:F:n:WD_1:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:50,621 [D] ┌:F:n:WD_2:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:50,621 [D] └:F:n:WD_2:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:50,637 [D] ┌:F:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:50,637 [D] |:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:50,637 [D] └:F:n:WD_3:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:50,654 [D] -:F:n:WD_1:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:50,671 [D] ┌:F:n:WD_2:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:50,671 [D] └:F:n:WD_2:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:50,687 [D] ┌:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:50,688 [D] |:F:n:WD_3:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:50,688 [D] └:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:50,736 [D] -:P:n:WD_1:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:50,752 [D] -:F:n:WD_1:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:50,767 [D] ┌:F:n:WD_2:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:50,767 [D] └:F:n:WD_2:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:50,802 [D] ┌:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:50,802 [D] |:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:50,802 [D] └:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:50,818 [D] -:F:n:WD_1:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:50,833 [D] ┌:F:n:WD_2:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:50,833 [D] └:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:50,849 [D] ┌:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:50,849 [D] |:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:50,849 [D] └:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:50,865 [D] -:F:n:WD_1:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:50,880 [D] ┌:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:50,880 [D] └:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:50,896 [D] ┌:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:50,896 [D] |:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:50,896 [D] └:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:51,146 [D] -:C:n:WD_1:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:51,198 [D] ┌:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:51,198 [D] └:F:n:WD_2:mug.c:53	(at logger.py:129) 
