2019-03-02 02:05:49,667 [D] total_lines:63	(at logger.py:74) 
2019-03-02 02:05:49,667 [D] iteration_cnt:4	(at logger.py:75) 
2019-03-02 02:05:49,667 [D] comp_cached_cnt:86	(at logger.py:79) 
2019-03-02 02:05:49,667 [D] compile_cnt:350	(at logger.py:79) 
2019-03-02 02:05:49,667 [D] execute_cnt:49	(at logger.py:79) 
2019-03-02 02:05:49,667 [D] fail_del_cnt:56	(at logger.py:79) 
2019-03-02 02:05:49,667 [D] reuse_cnt:32	(at logger.py:79) 
2019-03-02 02:05:49,667 [D] succ_del_cnt:25	(at logger.py:79) 
2019-03-02 02:05:49,667 [D] time:7.5813281536102295	(at logger.py:80) 
2019-03-02 02:05:49,667 [D] deletion:34	(at logger.py:82) 
