factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.08,2,0,23,2,25
4,0.8888888888888888,0.08333333333333333,2,0,22,2,24
5,0.88,0.09523809523809523,2,0,19,2,21
6,0.8666666666666667,0.1111111111111111,2,0,16,2,18
8,0.8333333333333334,0.11764705882352941,2,0,15,2,17
7,0.8148148148148148,0.125,2,0,14,2,16
2,0.7941176470588235,0.13333333333333333,2,0,13,2,15
9,0.7857142857142857,0.14285714285714285,2,0,12,2,14
3,0.7586206896551724,0.15384615384615385,2,0,11,2,13
1,0.0,0.07692307692307693,1,1,11,2,12
