2019-02-12 21:29:14,100 [I] 	(at main.py:29) 
2019-02-12 21:29:14,101 [I] ===== START - RUN ==============================================	(at main.py:32) 
2019-02-12 21:29:14,101 [D] Title: RUN, Job key: RUN_2019-02-12_21:29:14	(at main.py:40) 
2019-02-12 21:29:14,101 [I] Load config file.	(at main.py:56) 
2019-02-12 21:29:14,101 [D] Loading config from ['/home/bohrok/Documents/DM/output/orbs/mbe/6/config/config.ini']	(at config.py:16) 
2019-02-12 21:29:14,101 [D] Load config successfully!	(at config.py:19) 
2019-02-12 21:29:14,101 [D] Initialize directory: .	(at workspace.py:10) 
2019-02-12 21:29:14,101 [I] Initialize workspace.	(at main.py:64) 
2019-02-12 21:29:14,102 [I] Working directory path: /home/bohrok/Documents/DM/output/orbs/mbe/6/work	(at workspace.py:41) 
2019-02-12 21:29:14,103 [D] Record the config on workspace.	(at workspace.py:62) 
2019-02-12 21:29:14,103 [I] No PRE stage.	(at main.py:73) 
2019-02-12 21:29:14,103 [I] Construct SliceSpace.	(at main.py:76) 
2019-02-12 21:29:14,103 [I] Compile the system.	(at slicespace.py:148) 
2019-02-12 21:29:14,141 [I] Execute the system.	(at slicespace.py:160) 
2019-02-12 21:29:14,151 [I] Compile the system again (sanity check).	(at slicespace.py:174) 
2019-02-12 21:29:14,190 [I] Execute the system again (sanity check).	(at slicespace.py:188) 
2019-02-12 21:29:14,202 [I] Construct deletion operators.	(at main.py:80) 
2019-02-12 21:29:14,202 [I] Run ORBS stage.	(at main.py:85) 
2019-02-12 21:29:14,203 [I] ORBS starts...	(at orbs.py:53) 
2019-02-12 21:29:14,219 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:14,220 [D] -:F:n:WD_1:mbe.c:79	(at logger.py:129) 
2019-02-12 21:29:14,239 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:14,239 [D] ┌:F:n:WD_2:mbe.c:79	(at logger.py:129) 
2019-02-12 21:29:14,239 [D] └:F:n:WD_2:mbe.c:78	(at logger.py:129) 
2019-02-12 21:29:14,260 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:14,260 [D] ┌:F:n:WD_3:mbe.c:79	(at logger.py:129) 
2019-02-12 21:29:14,260 [D] |:F:n:WD_3:mbe.c:78	(at logger.py:129) 
2019-02-12 21:29:14,260 [D] └:F:n:WD_3:mbe.c:77	(at logger.py:129) 
2019-02-12 21:29:14,335 [D] -:P:n:WD_1:mbe.c:78	(at logger.py:129) 
2019-02-12 21:29:14,352 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:14,352 [D] -:F:n:WD_1:mbe.c:77	(at logger.py:129) 
2019-02-12 21:29:14,368 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:14,369 [D] ┌:F:n:WD_2:mbe.c:77	(at logger.py:129) 
2019-02-12 21:29:14,369 [D] └:F:n:WD_2:mbe.c:76	(at logger.py:129) 
2019-02-12 21:29:14,389 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:14,390 [D] ┌:F:n:WD_3:mbe.c:77	(at logger.py:129) 
2019-02-12 21:29:14,390 [D] |:F:n:WD_3:mbe.c:76	(at logger.py:129) 
2019-02-12 21:29:14,390 [D] └:F:n:WD_3:mbe.c:75	(at logger.py:129) 
2019-02-12 21:29:14,407 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:14,408 [D] -:F:n:WD_1:mbe.c:76	(at logger.py:129) 
2019-02-12 21:29:14,425 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:14,425 [D] ┌:F:n:WD_2:mbe.c:76	(at logger.py:129) 
2019-02-12 21:29:14,425 [D] └:F:n:WD_2:mbe.c:75	(at logger.py:129) 
2019-02-12 21:29:14,443 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:14,443 [D] ┌:F:n:WD_3:mbe.c:76	(at logger.py:129) 
2019-02-12 21:29:14,443 [D] |:F:n:WD_3:mbe.c:75	(at logger.py:129) 
2019-02-12 21:29:14,443 [D] └:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 21:29:14,484 [D] -:P:c:WD_1:mbe.c:75	(at logger.py:129) 
2019-02-12 21:29:14,502 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:14,502 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 21:29:14,523 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:14,523 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 21:29:14,523 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:29:14,543 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:14,543 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 21:29:14,543 [D] |:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:29:14,543 [D] └:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:29:15,590 [D] -:C:n:WD_1:mbe.c:73	(at logger.py:129) 
2019-02-12 21:29:15,605 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:15,606 [D] ┌:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:29:15,606 [D] └:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 21:29:15,620 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:15,621 [D] ┌:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:29:15,621 [D] |:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:29:15,621 [D] └:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:29:15,638 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:15,638 [D] -:F:n:WD_1:mbe.c:72	(at logger.py:129) 
2019-02-12 21:29:15,657 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:15,657 [D] ┌:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 21:29:15,657 [D] └:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 21:29:15,676 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:15,676 [D] ┌:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:29:15,676 [D] |:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:29:15,676 [D] └:F:n:WD_3:mbe.c:70	(at logger.py:129) 
2019-02-12 21:29:15,697 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:15,698 [D] -:F:n:WD_1:mbe.c:71	(at logger.py:129) 
2019-02-12 21:29:15,715 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:15,716 [D] ┌:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 21:29:15,716 [D] └:F:n:WD_2:mbe.c:70	(at logger.py:129) 
2019-02-12 21:29:15,733 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:15,733 [D] ┌:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:29:15,733 [D] |:F:n:WD_3:mbe.c:70	(at logger.py:129) 
2019-02-12 21:29:15,733 [D] └:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 21:29:15,780 [D] -:P:c:WD_1:mbe.c:70	(at logger.py:129) 
2019-02-12 21:29:15,799 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:15,800 [D] -:F:n:WD_1:mbe.c:69	(at logger.py:129) 
2019-02-12 21:29:15,821 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:15,822 [D] ┌:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 21:29:15,822 [D] └:F:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 21:29:15,841 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:15,841 [D] ┌:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 21:29:15,841 [D] |:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 21:29:15,841 [D] └:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 21:29:15,908 [D] -:C:n:WD_1:mbe.c:68	(at logger.py:129) 
2019-02-12 21:29:15,929 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:15,929 [D] ┌:F:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 21:29:15,929 [D] └:F:n:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 21:29:15,948 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:15,948 [D] ┌:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 21:29:15,948 [D] |:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 21:29:15,948 [D] └:F:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 21:29:15,968 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:15,968 [D] -:F:n:WD_1:mbe.c:67	(at logger.py:129) 
2019-02-12 21:29:15,987 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:15,988 [D] ┌:F:n:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 21:29:15,988 [D] └:F:n:WD_2:mbe.c:66	(at logger.py:129) 
2019-02-12 21:29:16,009 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/6/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:29:16,010 [D] ┌:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 21:29:16,010 [D] |:F:n:WD_3:mbe.c:66	(at logger.py:129) 
