2019-03-02 02:05:15,733 [D] total_lines:63	(at logger.py:74) 
2019-03-02 02:05:15,733 [D] iteration_cnt:4	(at logger.py:75) 
2019-03-02 02:05:15,733 [D] comp_cached_cnt:86	(at logger.py:79) 
2019-03-02 02:05:15,733 [D] compile_cnt:359	(at logger.py:79) 
2019-03-02 02:05:15,733 [D] execute_cnt:51	(at logger.py:79) 
2019-03-02 02:05:15,733 [D] fail_del_cnt:59	(at logger.py:79) 
2019-03-02 02:05:15,733 [D] reuse_cnt:33	(at logger.py:79) 
2019-03-02 02:05:15,733 [D] succ_del_cnt:25	(at logger.py:79) 
2019-03-02 02:05:15,733 [D] time:8.144498348236084	(at logger.py:80) 
2019-03-02 02:05:15,733 [D] deletion:34	(at logger.py:82) 
