2019-02-12 21:26:32,727 [I] 	(at main.py:29) 
2019-02-12 21:26:32,727 [I] ===== START - RUN ==============================================	(at main.py:32) 
2019-02-12 21:26:32,727 [D] Title: RUN, Job key: RUN_2019-02-12_21:26:32	(at main.py:40) 
2019-02-12 21:26:32,727 [I] Load config file.	(at main.py:56) 
2019-02-12 21:26:32,728 [D] Loading config from ['/home/bohrok/Documents/DM/output/orbs/mbe/1/config/config.ini']	(at config.py:16) 
2019-02-12 21:26:32,735 [D] Load config successfully!	(at config.py:19) 
2019-02-12 21:26:32,735 [D] Initialize directory: .	(at workspace.py:10) 
2019-02-12 21:26:32,735 [I] Initialize workspace.	(at main.py:64) 
2019-02-12 21:26:32,736 [I] Working directory path: /home/bohrok/Documents/DM/output/orbs/mbe/1/work	(at workspace.py:41) 
2019-02-12 21:26:32,742 [D] Record the config on workspace.	(at workspace.py:62) 
2019-02-12 21:26:32,742 [I] No PRE stage.	(at main.py:73) 
2019-02-12 21:26:32,742 [I] Construct SliceSpace.	(at main.py:76) 
2019-02-12 21:26:32,742 [I] Compile the system.	(at slicespace.py:148) 
2019-02-12 21:26:33,095 [I] Execute the system.	(at slicespace.py:160) 
2019-02-12 21:26:33,247 [I] Compile the system again (sanity check).	(at slicespace.py:174) 
2019-02-12 21:26:33,293 [I] Execute the system again (sanity check).	(at slicespace.py:188) 
2019-02-12 21:26:33,305 [I] Construct deletion operators.	(at main.py:80) 
2019-02-12 21:26:33,306 [I] Run ORBS stage.	(at main.py:85) 
2019-02-12 21:26:33,306 [I] ORBS starts...	(at orbs.py:53) 
2019-02-12 21:26:33,345 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/1/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:26:33,345 [D] -:F:n:WD_1:mbe.c:81	(at logger.py:129) 
2019-02-12 21:26:33,419 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/1/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:26:33,419 [D] ┌:F:n:WD_2:mbe.c:81	(at logger.py:129) 
2019-02-12 21:26:33,419 [D] └:F:n:WD_2:mbe.c:80	(at logger.py:129) 
2019-02-12 21:26:33,506 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/1/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:26:33,507 [D] ┌:F:n:WD_3:mbe.c:81	(at logger.py:129) 
2019-02-12 21:26:33,507 [D] |:F:n:WD_3:mbe.c:80	(at logger.py:129) 
2019-02-12 21:26:33,507 [D] └:F:n:WD_3:mbe.c:79	(at logger.py:129) 
2019-02-12 21:26:33,614 [D] -:P:n:WD_1:mbe.c:80	(at logger.py:129) 
2019-02-12 21:26:33,694 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/1/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:26:33,695 [D] -:F:n:WD_1:mbe.c:79	(at logger.py:129) 
2019-02-12 21:26:33,793 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/1/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:26:33,793 [D] ┌:F:n:WD_2:mbe.c:79	(at logger.py:129) 
2019-02-12 21:26:33,793 [D] └:F:n:WD_2:mbe.c:78	(at logger.py:129) 
2019-02-12 21:26:33,913 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/1/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:26:33,913 [D] ┌:F:n:WD_3:mbe.c:79	(at logger.py:129) 
2019-02-12 21:26:33,913 [D] |:F:n:WD_3:mbe.c:78	(at logger.py:129) 
2019-02-12 21:26:33,914 [D] └:F:n:WD_3:mbe.c:77	(at logger.py:129) 
2019-02-12 21:26:33,999 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/1/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:26:33,999 [D] -:F:n:WD_1:mbe.c:78	(at logger.py:129) 
2019-02-12 21:26:34,139 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/1/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:26:34,139 [D] ┌:F:n:WD_2:mbe.c:78	(at logger.py:129) 
2019-02-12 21:26:34,139 [D] └:F:n:WD_2:mbe.c:77	(at logger.py:129) 
2019-02-12 21:26:34,268 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/1/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:26:34,268 [D] ┌:F:n:WD_3:mbe.c:78	(at logger.py:129) 
2019-02-12 21:26:34,268 [D] |:F:n:WD_3:mbe.c:77	(at logger.py:129) 
2019-02-12 21:26:34,269 [D] └:F:n:WD_3:mbe.c:76	(at logger.py:129) 
2019-02-12 21:26:34,451 [D] -:P:c:WD_1:mbe.c:77	(at logger.py:129) 
2019-02-12 21:26:34,472 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/1/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:26:34,472 [D] -:F:n:WD_1:mbe.c:76	(at logger.py:129) 
2019-02-12 21:26:34,497 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/1/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:26:34,497 [D] ┌:F:n:WD_2:mbe.c:76	(at logger.py:129) 
2019-02-12 21:26:34,497 [D] └:F:n:WD_2:mbe.c:75	(at logger.py:129) 
2019-02-12 21:26:34,519 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/1/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:26:34,519 [D] ┌:F:n:WD_3:mbe.c:76	(at logger.py:129) 
2019-02-12 21:26:34,519 [D] |:F:n:WD_3:mbe.c:75	(at logger.py:129) 
2019-02-12 21:26:34,519 [D] └:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 21:26:35,570 [D] -:C:n:WD_1:mbe.c:75	(at logger.py:129) 
2019-02-12 21:26:35,589 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/1/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:26:35,590 [D] ┌:F:n:WD_2:mbe.c:75	(at logger.py:129) 
2019-02-12 21:26:35,590 [D] └:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 21:26:35,609 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/1/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:26:35,609 [D] ┌:F:n:WD_3:mbe.c:75	(at logger.py:129) 
2019-02-12 21:26:35,609 [D] |:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 21:26:35,609 [D] └:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:26:35,630 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/1/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:26:35,630 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 21:26:35,652 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/1/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:26:35,652 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 21:26:35,652 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:26:35,673 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/1/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:26:35,674 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 21:26:35,674 [D] |:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:26:35,674 [D] └:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:26:35,694 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/1/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:26:35,694 [D] -:F:n:WD_1:mbe.c:73	(at logger.py:129) 
