factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.5,10,0,10,10,20
1,0.0,0.5263157894736842,10,0,9,10,19
2,0.0,0.5555555555555556,10,0,8,10,18
3,0.0,0.5882352941176471,10,0,7,10,17
4,0.0,0.5454545454545454,6,4,1,10,7
5,0.0,0.5454545454545454,6,4,1,10,7
6,0.0,0.5454545454545454,6,4,1,10,7
7,0.0,0.5454545454545454,6,4,1,10,7
8,0.0,0.5454545454545454,6,4,1,10,7
9,0.0,0.5454545454545454,6,4,1,10,7
10,0.0,0.5454545454545454,6,4,1,10,7
11,0.0,0.5454545454545454,6,4,1,10,7
12,0.0,0.5454545454545454,6,4,1,10,7
13,0.0,0.5454545454545454,6,4,1,10,7
14,0.0,0.5454545454545454,6,4,1,10,7
15,0.0,0.5454545454545454,6,4,1,10,7
16,0.0,0.5454545454545454,6,4,1,10,7
17,0.0,0.5454545454545454,6,4,1,10,7
18,0.0,0.6,6,4,0,10,6
19,0.0,0.2,2,8,0,10,2
20,0.0,0.2,2,8,0,10,2
21,0.0,0.2,2,8,0,10,2
