factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.15,3,0,17,3,20
1,1.0,0.15789473684210525,3,0,16,3,19
2,1.0,0.16666666666666666,3,0,15,3,18
3,1.0,0.17647058823529413,3,0,14,3,17
18,1.0,0.1875,3,0,13,3,16
19,1.0,0.25,3,0,9,3,12
20,1.0,0.25,3,0,9,3,12
21,1.0,0.25,3,0,9,3,12
14,0.7142857142857143,0.2727272727272727,3,0,8,3,11
15,0.7142857142857143,0.3,3,0,7,3,10
13,0.6666666666666666,0.3,3,0,7,3,10
9,0.6,0.3333333333333333,3,0,6,3,9
12,0.6,0.375,3,0,5,3,8
17,0.6,0.42857142857142855,3,0,4,3,7
8,0.5,0.42857142857142855,3,0,4,3,7
11,0.5,0.42857142857142855,3,0,4,3,7
16,0.5,0.42857142857142855,3,0,4,3,7
6,0.3333333333333333,0.5,3,0,3,3,6
7,0.3333333333333333,0.6,3,0,2,3,5
10,0.3333333333333333,0.75,3,0,1,3,4
4,0.0,0.25,1,2,1,3,2
5,0.0,0.25,1,2,1,3,2
