factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.8076923076923077,21,0,5,21,26
1,0.0,0.7692307692307693,20,1,5,21,25
2,0.0,0.7307692307692307,19,2,5,21,24
3,0.0,0.5,13,8,5,21,18
4,0.0,0.5,13,8,5,21,18
5,0.0,0.5,13,8,5,21,18
6,0.0,0.5,13,8,5,21,18
7,0.0,0.5,13,8,5,21,18
8,0.0,0.5,13,8,5,21,18
9,0.0,0.5,13,8,5,21,18
10,0.0,0.5,13,8,5,21,18
11,0.0,0.52,13,8,4,21,17
12,0.0,0.4583333333333333,11,10,3,21,14
13,0.0,0.4583333333333333,11,10,3,21,14
14,0.0,0.4583333333333333,11,10,3,21,14
15,0.0,0.375,9,12,3,21,12
16,0.0,0.375,9,12,3,21,12
17,0.0,0.391304347826087,9,12,2,21,11
18,0.0,0.34782608695652173,8,13,2,21,10
19,0.0,0.30434782608695654,7,14,2,21,9
20,0.0,0.11538461538461539,3,18,5,21,8
21,0.0,0.2727272727272727,6,15,1,21,7
