factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.05,1,0,19,1,20
8,0.98,0.05263157894736842,1,0,18,1,19
9,0.9701492537313433,0.05263157894736842,1,0,18,1,19
7,0.9696969696969697,0.05555555555555555,1,0,17,1,18
2,0.9523809523809523,0.058823529411764705,1,0,16,1,17
3,0.9523809523809523,0.0625,1,0,15,1,16
18,0.9523809523809523,0.06666666666666667,1,0,14,1,15
20,0.9487179487179487,0.07142857142857142,1,0,13,1,14
21,0.9487179487179487,0.07692307692307693,1,0,12,1,13
19,0.9473684210526315,0.09090909090909091,1,0,10,1,11
6,0.9428571428571428,0.1,1,0,9,1,10
5,0.9375,0.25,1,0,3,1,4
17,0.9354838709677419,0.25,1,0,3,1,4
16,0.9333333333333333,0.25,1,0,3,1,4
14,0.9294117647058824,0.25,1,0,3,1,4
15,0.9294117647058824,0.25,1,0,3,1,4
10,0.9285714285714286,0.25,1,0,3,1,4
11,0.9285714285714286,0.25,1,0,3,1,4
12,0.9285714285714286,0.25,1,0,3,1,4
13,0.9285714285714286,0.25,1,0,3,1,4
4,0.875,0.3333333333333333,1,0,2,1,3
1,0.14285714285714285,0.5,1,0,1,1,2
