factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.08,2,0,23,2,25
3,0.7931034482758621,0.08333333333333333,2,0,22,2,24
7,0.7407407407407407,0.08695652173913043,2,0,21,2,23
5,0.72,0.1,2,0,18,2,20
1,0.7083333333333334,0.10526315789473684,2,0,17,2,19
6,0.7,0.125,2,0,14,2,16
9,0.6785714285714286,0.13333333333333333,2,0,13,2,15
4,0.6666666666666666,0.14285714285714285,2,0,12,2,14
8,0.6666666666666666,0.15384615384615385,2,0,11,2,13
2,0.0,0.07692307692307693,1,1,11,2,12
