factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.25,5,0,15,5,20
1,0.8571428571428571,0.2631578947368421,5,0,14,5,19
2,0.8571428571428571,0.2777777777777778,5,0,13,5,18
3,0.8571428571428571,0.29411764705882354,5,0,12,5,17
18,0.8571428571428571,0.3125,5,0,11,5,16
20,0.8461538461538461,0.3333333333333333,5,0,10,5,15
21,0.8461538461538461,0.35714285714285715,5,0,9,5,14
19,0.8421052631578947,0.4166666666666667,5,0,7,5,12
9,0.7164179104477612,0.45454545454545453,5,0,6,5,11
14,0.6705882352941176,0.5,5,0,5,5,10
15,0.6705882352941176,0.5555555555555556,5,0,4,5,9
8,0.64,0.5555555555555556,5,0,4,5,9
13,0.6,0.5555555555555556,5,0,4,5,9
17,0.5483870967741935,0.625,5,0,3,5,8
6,0.5142857142857142,0.7142857142857143,5,0,2,5,7
12,0.5,0.8333333333333334,5,0,1,5,6
7,0.48484848484848486,1.0,5,0,0,5,5
16,0.37777777777777777,1.0,5,0,0,5,5
11,0.3333333333333333,1.0,5,0,0,5,5
4,0.0,0.4,2,3,0,5,2
5,0.0,0.4,2,3,0,5,2
10,0.0,0.4,2,3,0,5,2
