factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.75,15,0,5,15,20
1,0.0,0.7,14,1,5,15,19
2,0.0,0.7368421052631579,14,1,4,15,18
3,0.0,0.6842105263157895,13,2,4,15,17
4,0.0,0.375,6,9,1,15,7
5,0.0,0.375,6,9,1,15,7
6,0.0,0.375,6,9,1,15,7
7,0.0,0.375,6,9,1,15,7
8,0.0,0.375,6,9,1,15,7
9,0.0,0.375,6,9,1,15,7
10,0.0,0.375,6,9,1,15,7
11,0.0,0.375,6,9,1,15,7
12,0.0,0.375,6,9,1,15,7
13,0.0,0.375,6,9,1,15,7
14,0.0,0.375,6,9,1,15,7
15,0.0,0.375,6,9,1,15,7
16,0.0,0.375,6,9,1,15,7
17,0.0,0.375,6,9,1,15,7
18,0.0,0.4,6,9,0,15,6
19,0.0,0.13333333333333333,2,13,0,15,2
20,0.0,0.13333333333333333,2,13,0,15,2
21,0.0,0.13333333333333333,2,13,0,15,2
