factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.65,13,0,7,13,20
1,0.0,0.6842105263157895,13,0,6,13,19
2,0.0,0.631578947368421,12,1,6,13,18
3,0.0,0.6666666666666666,12,1,5,13,17
4,0.0,0.42857142857142855,6,7,1,13,7
5,0.0,0.42857142857142855,6,7,1,13,7
6,0.0,0.42857142857142855,6,7,1,13,7
7,0.0,0.42857142857142855,6,7,1,13,7
8,0.0,0.42857142857142855,6,7,1,13,7
9,0.0,0.42857142857142855,6,7,1,13,7
10,0.0,0.42857142857142855,6,7,1,13,7
11,0.0,0.42857142857142855,6,7,1,13,7
12,0.0,0.42857142857142855,6,7,1,13,7
13,0.0,0.42857142857142855,6,7,1,13,7
14,0.0,0.42857142857142855,6,7,1,13,7
15,0.0,0.42857142857142855,6,7,1,13,7
16,0.0,0.42857142857142855,6,7,1,13,7
17,0.0,0.42857142857142855,6,7,1,13,7
18,0.0,0.46153846153846156,6,7,0,13,6
19,0.0,0.15384615384615385,2,11,0,13,2
20,0.0,0.15384615384615385,2,11,0,13,2
21,0.0,0.15384615384615385,2,11,0,13,2
