2019-03-02 02:02:24,553 [D] -:F:n:WD_1:wc.c:48	(at logger.py:129) 
2019-03-02 02:02:24,566 [D] ┌:F:n:WD_2:wc.c:48	(at logger.py:129) 
2019-03-02 02:02:24,566 [D] └:F:n:WD_2:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:24,578 [D] ┌:F:n:WD_3:wc.c:48	(at logger.py:129) 
2019-03-02 02:02:24,579 [D] |:F:n:WD_3:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:24,579 [D] └:F:n:WD_3:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:24,594 [D] -:F:n:WD_1:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:24,638 [D] ┌:P:c:WD_2:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:24,638 [D] └:P:c:WD_2:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:24,638 [D]  : : :pass:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:24,638 [D]  : : :pass:wc.c:45	(at logger.py:129) 
2019-03-02 02:02:24,638 [D]  : : :pass:wc.c:44	(at logger.py:129) 
2019-03-02 02:02:24,638 [D]  : : :pass:wc.c:43	(at logger.py:129) 
2019-03-02 02:02:24,639 [D]  : : :pass:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:24,639 [D]  : : :pass:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:24,639 [D]  : : :pass:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:24,639 [D]  : : :pass:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:24,639 [D]  : : :pass:wc.c:38	(at logger.py:129) 
2019-03-02 02:02:24,653 [D] -:F:n:WD_1:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:24,664 [D] ┌:F:n:WD_2:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:24,664 [D] └:F:n:WD_2:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:24,717 [D] ┌:P:n:WD_3:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:24,717 [D] |:P:n:WD_3:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:24,718 [D] └:P:n:WD_3:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:24,718 [D]  : : :pass:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:24,718 [D]  : : :pass:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:24,729 [D] -:F:n:WD_1:wc.c:34	(at logger.py:129) 
2019-03-02 02:02:24,743 [D] ┌:F:n:WD_2:wc.c:34	(at logger.py:129) 
2019-03-02 02:02:24,743 [D] └:F:n:WD_2:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:24,758 [D] ┌:F:n:WD_3:wc.c:34	(at logger.py:129) 
2019-03-02 02:02:24,758 [D] |:F:n:WD_3:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:24,758 [D] └:F:n:WD_3:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:24,771 [D] -:F:n:WD_1:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:24,783 [D] ┌:F:n:WD_2:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:24,783 [D] └:F:n:WD_2:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:24,795 [D] ┌:F:n:WD_3:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:24,795 [D] |:F:n:WD_3:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:24,796 [D] └:F:n:WD_3:wc.c:25	(at logger.py:129) 
2019-03-02 02:02:24,796 [D]  : : :pass:wc.c:32	(at logger.py:129) 
2019-03-02 02:02:24,796 [D]  : : :pass:wc.c:31	(at logger.py:129) 
2019-03-02 02:02:24,796 [D]  : : :pass:wc.c:30	(at logger.py:129) 
2019-03-02 02:02:24,796 [D]  : : :pass:wc.c:29	(at logger.py:129) 
2019-03-02 02:02:24,811 [D] -:F:n:WD_1:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:24,848 [D] ┌:P:c:WD_2:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:24,849 [D] └:P:c:WD_2:wc.c:25	(at logger.py:129) 
2019-03-02 02:02:24,849 [D]  : : :pass:wc.c:27	(at logger.py:129) 
2019-03-02 02:02:24,849 [D]  : : :pass:wc.c:26	(at logger.py:129) 
2019-03-02 02:02:24,849 [D]  : : :pass:wc.c:25	(at logger.py:129) 
2019-03-02 02:02:24,849 [D]  : : :pass:wc.c:24	(at logger.py:129) 
2019-03-02 02:02:24,849 [D]  : : :pass:wc.c:23	(at logger.py:129) 
2019-03-02 02:02:24,849 [D]  : : :pass:wc.c:22	(at logger.py:129) 
2019-03-02 02:02:24,849 [D]  : : :pass:wc.c:21	(at logger.py:129) 
2019-03-02 02:02:24,850 [D]  : : :pass:wc.c:20	(at logger.py:129) 
2019-03-02 02:02:24,898 [D] -:C:n:WD_1:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:24,946 [D] ┌:C:n:WD_2:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:24,946 [D] └:C:n:WD_2:wc.c:18	(at logger.py:129) 
2019-03-02 02:02:24,960 [D] ┌:F:n:WD_3:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:24,960 [D] |:F:n:WD_3:wc.c:18	(at logger.py:129) 
2019-03-02 02:02:24,960 [D] └:F:n:WD_3:wc.c:17	(at logger.py:129) 
2019-03-02 02:02:25,009 [D] -:C:n:WD_1:wc.c:18	(at logger.py:129) 
2019-03-02 02:02:25,024 [D] ┌:F:n:WD_2:wc.c:18	(at logger.py:129) 
2019-03-02 02:02:25,024 [D] └:F:n:WD_2:wc.c:17	(at logger.py:129) 
2019-03-02 02:02:25,037 [D] ┌:F:n:WD_3:wc.c:18	(at logger.py:129) 
2019-03-02 02:02:25,037 [D] |:F:n:WD_3:wc.c:17	(at logger.py:129) 
2019-03-02 02:02:25,037 [D] └:F:n:WD_3:wc.c:16	(at logger.py:129) 
2019-03-02 02:02:25,049 [D] -:F:n:WD_1:wc.c:17	(at logger.py:129) 
2019-03-02 02:02:25,063 [D] ┌:F:n:WD_2:wc.c:17	(at logger.py:129) 
2019-03-02 02:02:25,063 [D] └:F:n:WD_2:wc.c:16	(at logger.py:129) 
2019-03-02 02:02:25,078 [D] ┌:F:n:WD_3:wc.c:17	(at logger.py:129) 
2019-03-02 02:02:25,079 [D] |:F:n:WD_3:wc.c:16	(at logger.py:129) 
2019-03-02 02:02:25,079 [D] └:F:n:WD_3:wc.c:15	(at logger.py:129) 
2019-03-02 02:02:25,131 [D] -:C:n:WD_1:wc.c:16	(at logger.py:129) 
2019-03-02 02:02:25,183 [D] ┌:C:n:WD_2:wc.c:16	(at logger.py:129) 
2019-03-02 02:02:25,183 [D] └:C:n:WD_2:wc.c:15	(at logger.py:129) 
2019-03-02 02:02:25,194 [D] ┌:F:n:WD_3:wc.c:16	(at logger.py:129) 
2019-03-02 02:02:25,194 [D] |:F:n:WD_3:wc.c:15	(at logger.py:129) 
2019-03-02 02:02:25,194 [D] └:F:n:WD_3:wc.c:14	(at logger.py:129) 
2019-03-02 02:02:25,243 [D] -:P:n:WD_1:wc.c:15	(at logger.py:129) 
2019-03-02 02:02:25,254 [D] -:F:n:WD_1:wc.c:14	(at logger.py:129) 
2019-03-02 02:02:25,266 [D] ┌:F:n:WD_2:wc.c:14	(at logger.py:129) 
2019-03-02 02:02:25,266 [D] └:F:n:WD_2:wc.c:13	(at logger.py:129) 
2019-03-02 02:02:25,277 [D] ┌:F:n:WD_3:wc.c:14	(at logger.py:129) 
2019-03-02 02:02:25,277 [D] |:F:n:WD_3:wc.c:13	(at logger.py:129) 
2019-03-02 02:02:25,277 [D] └:F:n:WD_3:wc.c:12	(at logger.py:129) 
2019-03-02 02:02:25,319 [D] -:C:n:WD_1:wc.c:13	(at logger.py:129) 
2019-03-02 02:02:25,360 [D] ┌:C:n:WD_2:wc.c:13	(at logger.py:129) 
2019-03-02 02:02:25,360 [D] └:C:n:WD_2:wc.c:12	(at logger.py:129) 
2019-03-02 02:02:25,403 [D] ┌:C:n:WD_3:wc.c:13	(at logger.py:129) 
2019-03-02 02:02:25,403 [D] |:C:n:WD_3:wc.c:12	(at logger.py:129) 
2019-03-02 02:02:25,403 [D] └:C:n:WD_3:wc.c:11	(at logger.py:129) 
2019-03-02 02:02:25,444 [D] -:C:n:WD_1:wc.c:12	(at logger.py:129) 
2019-03-02 02:02:25,492 [D] ┌:C:n:WD_2:wc.c:12	(at logger.py:129) 
2019-03-02 02:02:25,492 [D] └:C:n:WD_2:wc.c:11	(at logger.py:129) 
2019-03-02 02:02:25,503 [D] ┌:F:n:WD_3:wc.c:12	(at logger.py:129) 
2019-03-02 02:02:25,503 [D] |:F:n:WD_3:wc.c:11	(at logger.py:129) 
2019-03-02 02:02:25,503 [D] └:F:n:WD_3:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:25,535 [D] -:C:c:WD_1:wc.c:11	(at logger.py:129) 
2019-03-02 02:02:25,545 [D] ┌:F:n:WD_2:wc.c:11	(at logger.py:129) 
2019-03-02 02:02:25,545 [D] └:F:n:WD_2:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:25,559 [D] ┌:F:n:WD_3:wc.c:11	(at logger.py:129) 
2019-03-02 02:02:25,559 [D] |:F:n:WD_3:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:25,559 [D] └:F:n:WD_3:wc.c:8	(at logger.py:129) 
2019-03-02 02:02:25,559 [D]  : : :pass:wc.c:10	(at logger.py:129) 
2019-03-02 02:02:25,571 [D] -:F:n:WD_1:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:25,582 [D] ┌:F:n:WD_2:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:25,582 [D] └:F:n:WD_2:wc.c:8	(at logger.py:129) 
2019-03-02 02:02:25,593 [D] ┌:F:n:WD_3:wc.c:9	(at logger.py:129) 
2019-03-02 02:02:25,593 [D] |:F:n:WD_3:wc.c:8	(at logger.py:129) 
2019-03-02 02:02:25,593 [D] └:F:n:WD_3:wc.c:7	(at logger.py:129) 
2019-03-02 02:02:25,605 [D] -:F:n:WD_1:wc.c:8	(at logger.py:129) 
2019-03-02 02:02:25,617 [D] ┌:F:n:WD_2:wc.c:8	(at logger.py:129) 
2019-03-02 02:02:25,617 [D] └:F:n:WD_2:wc.c:7	(at logger.py:129) 
2019-03-02 02:02:25,628 [D] ┌:F:n:WD_3:wc.c:8	(at logger.py:129) 
2019-03-02 02:02:25,628 [D] |:F:n:WD_3:wc.c:7	(at logger.py:129) 
2019-03-02 02:02:25,628 [D] └:F:n:WD_3:wc.c:6	(at logger.py:129) 
2019-03-02 02:02:25,643 [D] -:F:n:WD_1:wc.c:7	(at logger.py:129) 
2019-03-02 02:02:25,657 [D] ┌:F:n:WD_2:wc.c:7	(at logger.py:129) 
2019-03-02 02:02:25,657 [D] └:F:n:WD_2:wc.c:6	(at logger.py:129) 
2019-03-02 02:02:25,673 [D] ┌:F:n:WD_3:wc.c:7	(at logger.py:129) 
2019-03-02 02:02:25,673 [D] |:F:n:WD_3:wc.c:6	(at logger.py:129) 
2019-03-02 02:02:25,673 [D] └:F:n:WD_3:wc.c:5	(at logger.py:129) 
2019-03-02 02:02:25,687 [D] -:F:n:WD_1:wc.c:6	(at logger.py:129) 
2019-03-02 02:02:25,701 [D] ┌:F:n:WD_2:wc.c:6	(at logger.py:129) 
2019-03-02 02:02:25,701 [D] └:F:n:WD_2:wc.c:5	(at logger.py:129) 
2019-03-02 02:02:25,714 [D] ┌:F:n:WD_3:wc.c:6	(at logger.py:129) 
2019-03-02 02:02:25,715 [D] |:F:n:WD_3:wc.c:5	(at logger.py:129) 
2019-03-02 02:02:25,715 [D] └:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:02:25,748 [D] -:P:c:WD_1:wc.c:5	(at logger.py:129) 
2019-03-02 02:02:25,764 [D] -:F:n:WD_1:wc.c:4	(at logger.py:129) 
2019-03-02 02:02:25,851 [D] ┌:F:n:WD_2:wc.c:4	(at logger.py:129) 
2019-03-02 02:02:25,851 [D] └:F:n:WD_2:wc.c:3	(at logger.py:129) 
2019-03-02 02:02:25,851 [D] ┌:F:n:WD_3:wc.c:4	(at logger.py:129) 
2019-03-02 02:02:25,851 [D] └:F:n:WD_3:wc.c:3	(at logger.py:129) 
2019-03-02 02:02:25,864 [D] -:F:n:WD_1:wc.c:3	(at logger.py:129) 
2019-03-02 02:02:25,865 [D] -:F:n:WD_2:wc.c:3	(at logger.py:129) 
2019-03-02 02:02:25,865 [D] -:F:n:WD_3:wc.c:3	(at logger.py:129) 
